Modo,Direction,Lag,Chi2,p
M,A->B,1,3.73,0.05
S,A->B,1,4.73,0.03
M,B->A,1,61.5,0.0
S,B->A,1,27.05,0.0
M,A->B,2,40.76,0.0
S,A->B,2,26.14,0.0
M,B->A,2,99.48,0.0
S,B->A,2,60.1,0.0
M,A->B,3,44.79,0.0
S,A->B,3,36.49,0.0
M,B->A,3,100.64,0.0
S,B->A,3,69.02,0.0
M,A->B,4,35.4,0.0
S,A->B,4,32.05,0.0
M,B->A,4,106.78,0.0
S,B->A,4,88.07,0.0
M,A->B,5,31.2,0.0
S,A->B,5,27.36,0.0
M,B->A,5,116.9,0.0
S,B->A,5,98.78,0.0
M,A->B,6,41.79,0.0
S,A->B,6,29.3,0.0
M,B->A,6,117.47,0.0
S,B->A,6,98.04,0.0
M,A->B,7,39.32,0.0
S,A->B,7,27.59,0.0
M,B->A,7,118.39,0.0
S,B->A,7,96.54,0.0
M,A->B,8,36.24,0.0
S,A->B,8,28.37,0.0
M,B->A,8,118.54,0.0
S,B->A,8,96.18,0.0
M,A->B,9,42.94,0.0
S,A->B,9,29.95,0.0
M,B->A,9,128.69,0.0
S,B->A,9,98.03,0.0
M,A->B,10,52.12,0.0
S,A->B,10,40.17,0.0
M,B->A,10,130.23,0.0
S,B->A,10,100.52,0.0
