Modo,Direction,Lag,Chi2,p
M,A->B,1,13.82,0
S,A->B,1,2.51,0.11
M,B->A,1,2.32,0.13
S,B->A,1,2.25,0.13
M,A->B,2,18.34,0
S,A->B,2,7.92,0.02
M,B->A,2,7.96,0.02
S,B->A,2,2.31,0.32
M,A->B,3,13.7,0
S,A->B,3,10.53,0.01
M,B->A,3,6.14,0.11
S,B->A,3,1.44,0.7
M,A->B,4,15.16,0
S,A->B,4,12.49,0.01
M,B->A,4,13.65,0.01
S,B->A,4,3.41,0.49
M,A->B,5,15.22,0.01
S,A->B,5,12.31,0.03
M,B->A,5,14.42,0.01
S,B->A,5,9.46,0.09
M,A->B,6,11.28,0.08
S,A->B,6,12.02,0.06
M,B->A,6,14.24,0.03
S,B->A,6,10.65,0.1
M,A->B,7,9.51,0.22
S,A->B,7,12.2,0.09
M,B->A,7,15.87,0.03
S,B->A,7,11.28,0.13
M,A->B,8,9.72,0.28
S,A->B,8,15.85,0.04
M,B->A,8,15.31,0.05
S,B->A,8,12.8,0.12
M,A->B,9,10.2,0.33
S,A->B,9,16.23,0.06
M,B->A,9,15.98,0.07
S,B->A,9,12.09,0.21
M,A->B,10,9.55,0.48
S,A->B,10,16.6,0.08
M,B->A,10,18.59,0.05
S,B->A,10,12.16,0.27
