Modo,Direction,Lag,Chi2,p
M,C->D,1,0.8,0.37
S,C->D,1,2.61,0.11
M,D->C,1,0.12,0.73
S,D->C,1,0.03,0.87
M,C->D,2,1.49,0.47
S,C->D,2,7.97,0.02
M,D->C,2,1.58,0.45
S,D->C,2,0.55,0.76
M,C->D,3,3.0,0.39
S,C->D,3,7.53,0.06
M,D->C,3,1.84,0.61
S,D->C,3,19.87,0.0
M,C->D,4,3.81,0.43
S,C->D,4,7.76,0.1
M,D->C,4,3.17,0.53
S,D->C,4,24.21,0.0
M,C->D,5,4.2,0.52
S,C->D,5,12.8,0.03
M,D->C,5,7.0,0.22
S,D->C,5,23.86,0.0
M,C->D,6,4.42,0.62
S,C->D,6,10.92,0.09
M,D->C,6,8.55,0.2
S,D->C,6,23.86,0.0
M,C->D,7,7.43,0.39
S,C->D,7,14.09,0.05
M,D->C,7,8.51,0.29
S,D->C,7,24.94,0.0
M,C->D,8,7.77,0.46
S,C->D,8,13.19,0.11
M,D->C,8,9.05,0.34
S,D->C,8,24.54,0.0
M,C->D,9,10.14,0.34
S,C->D,9,14.87,0.09
M,D->C,9,8.94,0.44
S,D->C,9,24.0,0.0
M,C->D,10,9.73,0.46
S,C->D,10,13.19,0.21
M,D->C,10,9.18,0.51
S,D->C,10,27.29,0.0
