Instante,RR_A,RR_B,Pos_A,Pos_B,Delta_PosA,Delta_PosB
800.0,688.0,645.0,113.0,173.0,301.0,0.0
1600.0,691.0,652.0,113.0,1.0,182.0,112.0
2400.0,718.0,644.0,113.0,85.0,140.0,119.0
3200.0,757.0,645.0,113.0,155.0,84.0,0.0
4000.0,707.0,646.0,253.0,155.0,0.0,104.0
4800.0,703.0,635.0,253.0,155.0,0.0,125.0
5600.0,728.0,608.0,253.0,155.0,0.0,494.0
6400.0,750.0,609.0,253.0,155.0,0.0,119.0
7200.0,715.0,604.0,253.0,358.0,0.0,0.0
8000.0,719.0,620.0,253.0,358.0,126.0,0.0
8800.0,717.0,642.0,253.0,358.0,119.0,0.0
9600.0,727.0,666.0,253.0,358.0,0.0,0.0
10400.0,711.0,668.0,253.0,358.0,0.0,0.0
11200.0,739.0,663.0,0.0,309.0,0.0,224.0
12000.0,707.0,673.0,0.0,309.0,0.0,42.0
12800.0,699.0,676.0,0.0,309.0,0.0,0.0
13600.0,716.0,662.0,0.0,309.0,0.0,0.0
14400.0,725.0,644.0,0.0,309.0,119.0,0.0
15200.0,702.0,614.0,0.0,491.0,407.0,0.0
16000.0,709.0,607.0,0.0,491.0,0.0,15.0
16800.0,727.0,618.0,0.0,491.0,0.0,132.0
17600.0,740.0,624.0,77.0,400.0,0.0,8.0
18400.0,701.0,637.0,525.0,204.0,0.0,202.0
19200.0,705.0,633.0,539.0,204.0,84.0,0.0
20000.0,720.0,630.0,581.0,204.0,104.0,0.0
20800.0,696.0,623.0,581.0,204.0,134.0,91.0
21600.0,693.0,647.0,581.0,15.0,98.0,35.0
22400.0,704.0,687.0,581.0,15.0,102.0,0.0
23200.0,711.0,708.0,581.0,15.0,31.0,0.0
24000.0,689.0,707.0,513.0,15.0,140.0,0.0
24800.0,710.0,709.0,224.0,15.0,0.0,0.0
25600.0,717.0,742.0,224.0,78.0,0.0,0.0
26400.0,711.0,764.0,224.0,358.0,0.0,163.0
27200.0,683.0,784.0,224.0,532.0,0.0,103.0
28000.0,704.0,764.0,224.0,596.0,0.0,0.0
28800.0,719.0,750.0,224.0,365.0,28.0,0.0
29600.0,703.0,716.0,224.0,365.0,607.0,298.0
30400.0,717.0,705.0,224.0,265.0,142.0,185.0
31200.0,750.0,703.0,224.0,0.0,0.0,0.0
32000.0,750.0,703.0,224.0,0.0,0.0,0.0
32800.0,712.0,702.0,224.0,174.0,0.0,133.0
33600.0,684.0,692.0,224.0,287.0,0.0,168.0
34400.0,676.0,672.0,224.0,287.0,0.0,106.0
35200.0,666.0,659.0,224.0,511.0,224.0,196.0
36000.0,680.0,650.0,224.0,511.0,0.0,112.0
36800.0,667.0,660.0,224.0,581.0,228.0,0.0
37600.0,650.0,671.0,225.0,420.0,129.0,0.0
38400.0,652.0,663.0,536.0,35.0,0.0,0.0
39200.0,684.0,655.0,638.0,231.0,0.0,0.0
40000.0,695.0,648.0,638.0,231.0,0.0,105.0
40800.0,690.0,656.0,638.0,231.0,0.0,162.0
41600.0,705.0,658.0,638.0,231.0,0.0,79.0
42400.0,736.0,671.0,638.0,231.0,0.0,110.0
43200.0,769.0,664.0,339.0,231.0,0.0,310.0
44000.0,757.0,670.0,0.0,352.0,0.0,75.0
44800.0,725.0,671.0,85.0,364.0,0.0,133.0
45600.0,732.0,675.0,364.0,364.0,0.0,0.0
46400.0,749.0,679.0,364.0,238.0,0.0,0.0
47200.0,745.0,679.0,364.0,238.0,148.0,0.0
48000.0,720.0,677.0,364.0,28.0,69.0,0.0
48800.0,745.0,667.0,638.0,231.0,42.0,0.0
49600.0,749.0,671.0,638.0,280.0,0.0,0.0
50400.0,705.0,670.0,638.0,119.0,0.0,70.0
51200.0,696.0,670.0,638.0,119.0,0.0,0.0
52000.0,692.0,657.0,638.0,119.0,0.0,91.0
52800.0,721.0,643.0,560.0,119.0,0.0,70.0
53600.0,772.0,641.0,246.0,119.0,0.0,0.0
54400.0,774.0,661.0,120.0,119.0,406.0,77.0
55200.0,730.0,666.0,139.0,87.0,0.0,0.0
56000.0,711.0,662.0,239.0,0.0,0.0,0.0
56800.0,715.0,653.0,239.0,164.0,0.0,0.0
57600.0,701.0,649.0,337.0,266.0,0.0,154.0
58400.0,713.0,648.0,337.0,266.0,0.0,92.0
59200.0,735.0,647.0,204.0,266.0,0.0,48.0
60000.0,735.0,644.0,204.0,266.0,0.0,98.0
60800.0,717.0,634.0,204.0,358.0,0.0,231.0
61600.0,740.0,640.0,204.0,455.0,0.0,63.0
62400.0,751.0,656.0,362.0,539.0,0.0,0.0
63200.0,737.0,671.0,372.0,539.0,0.0,0.0
64000.0,711.0,680.0,372.0,259.0,0.0,0.0
64800.0,715.0,690.0,372.0,259.0,0.0,0.0
65600.0,701.0,675.0,388.0,259.0,0.0,0.0
66400.0,681.0,676.0,491.0,259.0,0.0,119.0
67200.0,691.0,665.0,610.0,259.0,0.0,170.0
68000.0,713.0,661.0,638.0,259.0,0.0,57.0
68800.0,744.0,658.0,638.0,259.0,0.0,130.0
69600.0,711.0,640.0,638.0,259.0,0.0,0.0
70400.0,720.0,645.0,638.0,259.0,189.0,154.0
71200.0,726.0,659.0,638.0,259.0,112.0,0.0
72000.0,708.0,662.0,638.0,259.0,56.0,0.0
72800.0,711.0,670.0,638.0,259.0,0.0,111.0
73600.0,717.0,681.0,638.0,350.0,0.0,22.0
74400.0,719.0,680.0,396.0,313.0,0.0,0.0
75200.0,692.0,680.0,155.0,63.0,0.0,84.0
76000.0,689.0,674.0,155.0,64.0,100.0,0.0
76800.0,689.0,664.0,57.0,343.0,439.0,0.0
77600.0,677.0,657.0,227.0,343.0,50.0,63.0
78400.0,685.0,652.0,281.0,343.0,0.0,0.0
79200.0,676.0,648.0,281.0,252.0,0.0,0.0
80000.0,655.0,636.0,281.0,252.0,0.0,0.0
80800.0,687.0,659.0,421.0,638.0,0.0,175.0
81600.0,680.0,665.0,574.0,638.0,0.0,63.0
82400.0,689.0,672.0,638.0,619.0,201.0,0.0
83200.0,718.0,668.0,638.0,351.0,135.0,80.0
84000.0,749.0,664.0,638.0,351.0,0.0,95.0
84800.0,789.0,670.0,638.0,351.0,63.0,53.0
85600.0,758.0,665.0,638.0,351.0,0.0,80.0
86400.0,731.0,656.0,638.0,351.0,0.0,252.0
87200.0,728.0,650.0,638.0,351.0,0.0,175.0
88000.0,728.0,659.0,414.0,22.0,110.0,0.0
88800.0,687.0,664.0,0.0,204.0,149.0,119.0
89600.0,707.0,654.0,138.0,127.0,77.0,135.0
90400.0,746.0,630.0,189.0,113.0,0.0,12.0
91200.0,770.0,636.0,189.0,337.0,0.0,0.0
92000.0,732.0,644.0,189.0,337.0,0.0,77.0
92800.0,719.0,661.0,189.0,337.0,0.0,77.0
93600.0,725.0,669.0,189.0,337.0,0.0,147.0
94400.0,739.0,668.0,322.0,337.0,0.0,0.0
95200.0,715.0,674.0,322.0,337.0,0.0,259.0
96000.0,727.0,672.0,322.0,337.0,0.0,0.0
96800.0,749.0,675.0,322.0,337.0,0.0,0.0
97600.0,725.0,670.0,322.0,337.0,0.0,0.0
98400.0,706.0,666.0,322.0,337.0,0.0,0.0
99200.0,726.0,651.0,322.0,337.0,0.0,238.0
100000.0,736.0,646.0,322.0,337.0,0.0,104.0
100800.0,702.0,637.0,322.0,531.0,0.0,61.0
101600.0,674.0,631.0,504.0,561.0,0.0,94.0
102400.0,673.0,631.0,504.0,344.0,0.0,312.0
103200.0,740.0,655.0,504.0,344.0,0.0,197.0
104000.0,775.0,671.0,504.0,344.0,0.0,143.0
104800.0,756.0,683.0,496.0,344.0,0.0,0.0
105600.0,724.0,685.0,145.0,344.0,0.0,0.0
106400.0,692.0,697.0,0.0,181.0,0.0,0.0
107200.0,695.0,701.0,104.0,133.0,217.0,175.0
108000.0,708.0,703.0,182.0,273.0,0.0,0.0
108800.0,738.0,697.0,182.0,343.0,0.0,0.0
109600.0,751.0,687.0,182.0,343.0,0.0,77.0
110400.0,735.0,674.0,595.0,343.0,0.0,0.0
111200.0,745.0,655.0,595.0,441.0,0.0,252.0
112000.0,749.0,642.0,595.0,539.0,0.0,0.0
112800.0,712.0,643.0,595.0,341.0,0.0,0.0
113600.0,702.0,635.0,595.0,336.0,291.0,0.0
114400.0,698.0,641.0,595.0,336.0,213.0,0.0
115200.0,702.0,641.0,595.0,284.0,0.0,0.0
116000.0,719.0,633.0,454.0,98.0,0.0,0.0
116800.0,707.0,648.0,217.0,254.0,0.0,0.0
117600.0,728.0,649.0,217.0,329.0,0.0,217.0
118400.0,726.0,647.0,217.0,329.0,0.0,161.0
119200.0,727.0,640.0,217.0,329.0,9.0,0.0
120000.0,680.0,636.0,217.0,329.0,243.0,168.0
120800.0,661.0,640.0,392.0,329.0,0.0,0.0
121600.0,653.0,656.0,392.0,126.0,70.0,0.0
122400.0,687.0,643.0,623.0,35.0,0.0,0.0
123200.0,732.0,630.0,623.0,286.0,0.0,77.0
124000.0,735.0,634.0,623.0,294.0,0.0,58.0
124800.0,713.0,644.0,623.0,294.0,0.0,375.0
125600.0,682.0,654.0,623.0,294.0,0.0,2.0
126400.0,664.0,657.0,616.0,476.0,0.0,48.0
127200.0,635.0,657.0,638.0,490.0,126.0,126.0
128000.0,617.0,644.0,638.0,304.0,49.0,50.0
128800.0,627.0,637.0,562.0,182.0,0.0,0.0
129600.0,642.0,630.0,554.0,202.0,0.0,0.0
130400.0,665.0,625.0,554.0,343.0,0.0,189.0
131200.0,672.0,641.0,0.0,343.0,0.0,252.0
132000.0,662.0,645.0,0.0,343.0,43.0,0.0
132800.0,679.0,638.0,3.0,343.0,302.0,0.0
133600.0,738.0,639.0,140.0,343.0,26.0,0.0
134400.0,795.0,660.0,217.0,343.0,161.0,0.0
135200.0,760.0,657.0,217.0,343.0,56.0,0.0
136000.0,719.0,658.0,217.0,343.0,0.0,0.0
136800.0,719.0,656.0,325.0,343.0,0.0,0.0
137600.0,722.0,668.0,394.0,324.0,0.0,154.0
138400.0,704.0,659.0,528.0,252.0,0.0,99.0
139200.0,711.0,655.0,581.0,350.0,49.0,0.0
140000.0,712.0,643.0,638.0,350.0,133.0,259.0
140800.0,694.0,650.0,638.0,350.0,108.0,91.0
141600.0,674.0,680.0,638.0,350.0,102.0,0.0
142400.0,692.0,699.0,638.0,192.0,70.0,0.0
143200.0,720.0,710.0,638.0,261.0,0.0,0.0
144000.0,720.0,703.0,638.0,518.0,0.0,98.0
144800.0,720.0,700.0,638.0,574.0,0.0,84.0
145600.0,707.0,688.0,537.0,495.0,0.0,0.0
146400.0,692.0,685.0,204.0,371.0,0.0,84.0
147200.0,679.0,681.0,0.0,329.0,154.0,126.0
148000.0,692.0,678.0,21.0,329.0,197.0,0.0
148800.0,710.0,678.0,119.0,329.0,13.0,0.0
149600.0,700.0,674.0,119.0,162.0,0.0,0.0
150400.0,715.0,666.0,119.0,49.0,0.0,0.0
151200.0,730.0,678.0,119.0,344.0,0.0,168.0
152000.0,699.0,692.0,119.0,539.0,0.0,39.0
152800.0,697.0,690.0,276.0,415.0,0.0,94.0
153600.0,707.0,683.0,581.0,252.0,0.0,154.0
154400.0,715.0,691.0,581.0,252.0,0.0,70.0
155200.0,696.0,702.0,558.0,347.0,0.0,0.0
156000.0,698.0,699.0,399.0,469.0,0.0,63.0
156800.0,714.0,709.0,546.0,448.0,0.0,91.0
