Instante,RR_C,RR_D,Pos_C,Pos_D,Delta_PosC,Delta_PosD
800.0,627.0,748.0,432.0,27.0,142.0,0.0
1600.0,640.0,770.0,553.0,27.0,341.0,70.0
2400.0,642.0,780.0,351.0,27.0,121.0,142.0
3200.0,643.0,794.0,329.0,27.0,103.0,19.0
4000.0,629.0,802.0,329.0,27.0,0.0,43.0
4800.0,649.0,796.0,329.0,55.0,0.0,139.0
5600.0,657.0,794.0,329.0,334.0,0.0,308.0
6400.0,656.0,803.0,329.0,538.0,0.0,233.0
7200.0,651.0,810.0,329.0,489.0,0.0,119.0
8000.0,639.0,798.0,201.0,638.0,119.0,0.0
8800.0,623.0,771.0,168.0,337.0,7.0,0.0
9600.0,629.0,742.0,168.0,638.0,119.0,0.0
10400.0,638.0,734.0,168.0,638.0,0.0,121.0
11200.0,640.0,745.0,168.0,311.0,0.0,103.0
12000.0,630.0,775.0,168.0,57.0,0.0,0.0
12800.0,632.0,792.0,168.0,0.0,0.0,42.0
13600.0,641.0,802.0,168.0,0.0,0.0,0.0
14400.0,635.0,833.0,226.0,0.0,269.0,0.0
15200.0,626.0,845.0,324.0,0.0,257.0,0.0
16000.0,638.0,846.0,308.0,0.0,0.0,89.0
16800.0,649.0,829.0,308.0,146.0,0.0,58.0
17600.0,648.0,817.0,308.0,511.0,0.0,154.0
18400.0,627.0,808.0,308.0,511.0,0.0,56.0
19200.0,623.0,795.0,308.0,511.0,84.0,0.0
20000.0,616.0,783.0,308.0,511.0,238.0,46.0
20800.0,628.0,764.0,308.0,511.0,78.0,80.0
21600.0,631.0,759.0,308.0,511.0,20.0,0.0
22400.0,633.0,772.0,560.0,511.0,133.0,0.0
23200.0,643.0,784.0,560.0,511.0,78.0,0.0
24000.0,630.0,794.0,560.0,426.0,62.0,0.0
24800.0,623.0,803.0,560.0,168.0,0.0,0.0
25600.0,616.0,801.0,560.0,252.0,0.0,82.0
26400.0,624.0,802.0,560.0,252.0,0.0,184.0
27200.0,644.0,798.0,456.0,252.0,0.0,0.0
28000.0,655.0,801.0,126.0,252.0,0.0,0.0
28800.0,644.0,802.0,0.0,252.0,327.0,35.0
29600.0,650.0,804.0,0.0,252.0,264.0,219.0
30400.0,663.0,802.0,0.0,252.0,186.0,229.0
31200.0,660.0,793.0,0.0,252.0,0.0,0.0
32000.0,645.0,774.0,0.0,77.0,0.0,14.0
32800.0,646.0,773.0,258.0,77.0,0.0,156.0
33600.0,626.0,789.0,581.0,77.0,0.0,172.0
34400.0,616.0,799.0,431.0,77.0,0.0,65.0
35200.0,604.0,804.0,420.0,77.0,224.0,196.0
36000.0,610.0,809.0,420.0,258.0,0.0,112.0
36800.0,628.0,795.0,420.0,637.0,238.0,0.0
37600.0,626.0,774.0,420.0,637.0,119.0,0.0
38400.0,622.0,758.0,420.0,637.0,0.0,0.0
39200.0,613.0,757.0,420.0,637.0,0.0,0.0
40000.0,616.0,762.0,420.0,637.0,0.0,92.0
40800.0,614.0,786.0,420.0,637.0,0.0,225.0
41600.0,608.0,825.0,420.0,286.0,0.0,133.0
42400.0,601.0,847.0,420.0,186.0,0.0,6.0
43200.0,603.0,871.0,420.0,0.0,0.0,304.0
44000.0,602.0,863.0,420.0,0.0,0.0,81.0
44800.0,604.0,855.0,420.0,0.0,0.0,133.0
45600.0,602.0,821.0,420.0,142.0,0.0,0.0
46400.0,602.0,805.0,420.0,322.0,0.0,0.0
47200.0,607.0,802.0,420.0,638.0,191.0,0.0
48000.0,608.0,802.0,420.0,638.0,68.0,0.0
48800.0,598.0,821.0,420.0,523.0,0.0,0.0
49600.0,589.0,817.0,420.0,135.0,0.0,70.0
50400.0,582.0,803.0,420.0,14.0,0.0,0.0
51200.0,594.0,818.0,420.0,160.0,0.0,0.0
52000.0,592.0,818.0,420.0,160.0,0.0,0.0
52800.0,605.0,819.0,420.0,72.0,0.0,126.0
53600.0,616.0,821.0,420.0,494.0,0.0,35.0
54400.0,611.0,815.0,91.0,638.0,232.0,50.0
55200.0,620.0,807.0,91.0,638.0,174.0,27.0
56000.0,622.0,813.0,91.0,547.0,0.0,0.0
56800.0,646.0,799.0,91.0,337.0,0.0,0.0
57600.0,636.0,800.0,352.0,337.0,0.0,0.0
58400.0,627.0,778.0,518.0,617.0,0.0,154.0
59200.0,607.0,771.0,616.0,483.0,0.0,238.0
60000.0,601.0,759.0,616.0,344.0,0.0,0.0
60800.0,597.0,765.0,616.0,561.0,0.0,200.0
61600.0,591.0,751.0,331.0,575.0,0.0,94.0
62400.0,602.0,744.0,119.0,575.0,0.0,0.0
63200.0,614.0,745.0,119.0,575.0,0.0,0.0
64000.0,622.0,752.0,119.0,553.0,0.0,0.0
64800.0,618.0,759.0,119.0,183.0,0.0,0.0
65600.0,612.0,782.0,119.0,0.0,0.0,0.0
66400.0,622.0,787.0,424.0,0.0,0.0,119.0
67200.0,628.0,774.0,203.0,0.0,0.0,148.0
68000.0,624.0,768.0,203.0,17.0,0.0,109.0
68800.0,605.0,775.0,203.0,402.0,0.0,100.0
69600.0,609.0,788.0,203.0,396.0,0.0,0.0
70400.0,614.0,795.0,203.0,460.0,104.0,154.0
71200.0,612.0,796.0,203.0,638.0,182.0,0.0
72000.0,611.0,791.0,203.0,638.0,71.0,0.0
72800.0,621.0,780.0,203.0,620.0,0.0,0.0
73600.0,617.0,781.0,203.0,237.0,0.0,133.0
74400.0,613.0,797.0,203.0,0.0,0.0,0.0
75200.0,613.0,799.0,203.0,0.0,0.0,84.0
76000.0,616.0,805.0,203.0,0.0,109.0,0.0
76800.0,621.0,800.0,203.0,112.0,213.0,0.0
77600.0,615.0,791.0,203.0,133.0,260.0,0.0
78400.0,610.0,798.0,203.0,133.0,7.0,63.0
79200.0,602.0,798.0,203.0,133.0,0.0,0.0
80000.0,596.0,795.0,203.0,133.0,0.0,0.0
80800.0,597.0,772.0,203.0,133.0,0.0,0.0
81600.0,605.0,776.0,203.0,133.0,0.0,175.0
82400.0,599.0,778.0,203.0,465.0,79.0,63.0
83200.0,599.0,787.0,203.0,620.0,257.0,77.0
84000.0,603.0,795.0,203.0,638.0,0.0,98.0
84800.0,596.0,791.0,203.0,421.0,63.0,0.0
85600.0,601.0,789.0,203.0,421.0,0.0,133.0
86400.0,603.0,791.0,371.0,421.0,0.0,192.0
87200.0,597.0,775.0,553.0,421.0,0.0,171.0
88000.0,583.0,767.0,553.0,421.0,0.0,64.0
88800.0,588.0,776.0,553.0,421.0,146.0,0.0
89600.0,589.0,783.0,553.0,378.0,113.0,119.0
90400.0,596.0,761.0,553.0,267.0,77.0,147.0
91200.0,599.0,792.0,553.0,267.0,0.0,0.0
92000.0,599.0,811.0,549.0,267.0,0.0,77.0
92800.0,610.0,824.0,246.0,267.0,0.0,77.0
93600.0,616.0,824.0,0.0,267.0,0.0,0.0
94400.0,604.0,817.0,0.0,267.0,0.0,147.0
95200.0,595.0,805.0,0.0,267.0,0.0,33.0
96000.0,592.0,808.0,0.0,267.0,0.0,226.0
96800.0,597.0,815.0,0.0,267.0,0.0,0.0
97600.0,602.0,814.0,22.0,120.0,0.0,0.0
98400.0,609.0,819.0,334.0,120.0,0.0,0.0
99200.0,611.0,808.0,574.0,120.0,0.0,0.0
100000.0,608.0,809.0,350.0,120.0,0.0,238.0
100800.0,602.0,810.0,350.0,120.0,0.0,141.0
101600.0,601.0,805.0,350.0,0.0,0.0,115.0
102400.0,596.0,796.0,350.0,254.0,0.0,4.0
103200.0,593.0,780.0,350.0,621.0,0.0,350.0
104000.0,594.0,778.0,350.0,638.0,0.0,299.0
104800.0,622.0,783.0,133.0,605.0,0.0,2.0
105600.0,611.0,803.0,133.0,449.0,0.0,0.0
106400.0,627.0,826.0,133.0,449.0,0.0,0.0
107200.0,653.0,836.0,133.0,449.0,147.0,91.0
108000.0,654.0,829.0,133.0,449.0,70.0,84.0
108800.0,648.0,832.0,134.0,174.0,0.0,0.0
109600.0,635.0,819.0,329.0,0.0,0.0,77.0
110400.0,627.0,802.0,638.0,0.0,0.0,0.0
111200.0,619.0,803.0,638.0,0.0,0.0,77.0
112000.0,611.0,804.0,573.0,0.0,0.0,175.0
112800.0,609.0,814.0,383.0,0.0,0.0,0.0
113600.0,630.0,821.0,281.0,0.0,257.0,0.0
114400.0,625.0,815.0,281.0,227.0,156.0,0.0
115200.0,634.0,796.0,281.0,518.0,91.0,0.0
116000.0,647.0,796.0,281.0,518.0,0.0,0.0
116800.0,648.0,775.0,281.0,518.0,0.0,0.0
117600.0,647.0,750.0,281.0,518.0,0.0,0.0
118400.0,634.0,752.0,505.0,518.0,0.0,217.0
119200.0,627.0,763.0,575.0,518.0,0.0,161.0
120000.0,626.0,781.0,575.0,518.0,201.0,124.0
120800.0,627.0,819.0,575.0,518.0,51.0,44.0
121600.0,623.0,817.0,575.0,427.0,0.0,0.0
122400.0,622.0,795.0,575.0,219.0,70.0,0.0
123200.0,622.0,798.0,575.0,196.0,0.0,0.0
124000.0,622.0,817.0,575.0,296.0,0.0,101.0
124800.0,623.0,823.0,533.0,301.0,0.0,285.0
125600.0,623.0,840.0,414.0,301.0,0.0,126.0
126400.0,622.0,846.0,414.0,301.0,0.0,0.0
127200.0,623.0,824.0,414.0,301.0,126.0,179.0
128000.0,636.0,802.0,414.0,469.0,49.0,45.0
128800.0,624.0,803.0,414.0,469.0,0.0,0.0
129600.0,613.0,813.0,414.0,638.0,0.0,0.0
130400.0,602.0,816.0,211.0,638.0,0.0,189.0
131200.0,595.0,819.0,211.0,638.0,0.0,252.0
132000.0,588.0,826.0,211.0,638.0,0.0,0.0
132800.0,603.0,823.0,211.0,638.0,329.0,0.0
133600.0,603.0,799.0,211.0,638.0,42.0,0.0
134400.0,607.0,777.0,211.0,638.0,0.0,0.0
135200.0,611.0,781.0,400.0,638.0,217.0,0.0
136000.0,612.0,775.0,400.0,638.0,0.0,0.0
136800.0,609.0,782.0,400.0,638.0,0.0,0.0
137600.0,598.0,802.0,400.0,638.0,0.0,154.0
138400.0,596.0,817.0,400.0,367.0,0.0,99.0
139200.0,598.0,826.0,400.0,22.0,0.0,0.0
140000.0,605.0,835.0,400.0,127.0,182.0,259.0
140800.0,604.0,831.0,400.0,134.0,168.0,91.0
141600.0,616.0,833.0,400.0,134.0,112.0,0.0
142400.0,630.0,827.0,400.0,134.0,0.0,0.0
143200.0,656.0,801.0,400.0,134.0,0.0,0.0
144000.0,642.0,793.0,400.0,134.0,0.0,98.0
144800.0,653.0,812.0,400.0,344.0,0.0,84.0
145600.0,657.0,830.0,400.0,638.0,0.0,0.0
146400.0,647.0,859.0,400.0,638.0,0.0,210.0
147200.0,624.0,866.0,400.0,638.0,154.0,0.0
148000.0,620.0,841.0,400.0,638.0,198.0,0.0
148800.0,619.0,822.0,400.0,638.0,12.0,0.0
149600.0,602.0,833.0,400.0,638.0,0.0,0.0
150400.0,594.0,838.0,400.0,638.0,0.0,35.0
151200.0,597.0,835.0,400.0,638.0,0.0,133.0
152000.0,613.0,833.0,400.0,638.0,0.0,41.0
152800.0,620.0,833.0,400.0,638.0,0.0,0.0
153600.0,631.0,815.0,400.0,270.0,0.0,92.0
154400.0,625.0,819.0,400.0,50.0,0.0,203.0
155200.0,630.0,814.0,400.0,253.0,0.0,21.0
