Instante,RR_E,RR_F,Pos_E,Pos_F,Delta_PosE,Delta_PosF
800.0,789.0,773.0,251.0,56.0,392.0,0.0
1600.0,796.0,765.0,224.0,438.0,85.0,147.0
2400.0,808.0,756.0,224.0,518.0,140.0,84.0
3200.0,816.0,737.0,224.0,554.0,84.0,0.0
4000.0,785.0,710.0,224.0,560.0,0.0,77.0
4800.0,776.0,718.0,257.0,560.0,0.0,156.0
5600.0,777.0,728.0,518.0,560.0,0.0,337.0
6400.0,789.0,736.0,485.0,560.0,0.0,153.0
7200.0,804.0,726.0,357.0,560.0,0.0,119.0
8000.0,807.0,730.0,357.0,560.0,97.0,0.0
8800.0,817.0,767.0,357.0,301.0,29.0,0.0
9600.0,809.0,842.0,357.0,413.0,119.0,0.0
10400.0,799.0,801.0,357.0,638.0,0.0,0.0
11200.0,798.0,771.0,357.0,638.0,0.0,193.0
12000.0,801.0,740.0,273.0,638.0,0.0,73.0
12800.0,807.0,722.0,273.0,638.0,0.0,0.0
13600.0,817.0,713.0,322.0,638.0,0.0,0.0
14400.0,817.0,712.0,322.0,638.0,190.0,0.0
15200.0,836.0,692.0,322.0,638.0,336.0,0.0
16000.0,852.0,747.0,364.0,317.0,0.0,0.0
16800.0,842.0,757.0,287.0,36.0,0.0,147.0
17600.0,830.0,730.0,287.0,104.0,0.0,0.0
18400.0,817.0,739.0,287.0,183.0,0.0,164.0
19200.0,792.0,750.0,287.0,183.0,0.0,46.0
20000.0,792.0,772.0,287.0,183.0,84.0,0.0
20800.0,781.0,772.0,122.0,183.0,238.0,87.0
21600.0,793.0,767.0,105.0,183.0,98.0,39.0
22400.0,824.0,794.0,259.0,183.0,133.0,0.0
23200.0,816.0,828.0,259.0,0.0,140.0,0.0
24000.0,797.0,793.0,259.0,200.0,0.0,0.0
24800.0,828.0,795.0,259.0,458.0,0.0,0.0
25600.0,835.0,785.0,259.0,462.0,0.0,136.0
26400.0,840.0,759.0,259.0,462.0,0.0,130.0
27200.0,816.0,751.0,357.0,462.0,0.0,0.0
28000.0,804.0,768.0,518.0,462.0,0.0,0.0
28800.0,825.0,801.0,518.0,262.0,321.0,35.0
29600.0,817.0,805.0,399.0,0.0,266.0,214.0
30400.0,824.0,822.0,357.0,217.0,190.0,234.0
31200.0,837.0,822.0,357.0,217.0,0.0,0.0
32000.0,827.0,797.0,420.0,217.0,0.0,46.0
32800.0,791.0,768.0,420.0,217.0,0.0,153.0
33600.0,769.0,776.0,280.0,217.0,0.0,165.0
34400.0,769.0,795.0,0.0,217.0,0.0,43.0
35200.0,773.0,794.0,0.0,217.0,224.0,196.0
36000.0,782.0,789.0,306.0,217.0,0.0,112.0
36800.0,808.0,829.0,469.0,217.0,238.0,0.0
37600.0,842.0,838.0,416.0,217.0,119.0,0.0
38400.0,866.0,789.0,280.0,217.0,0.0,0.0
39200.0,843.0,768.0,280.0,381.0,0.0,0.0
40000.0,838.0,789.0,280.0,595.0,0.0,182.0
40800.0,810.0,806.0,280.0,595.0,0.0,148.0
41600.0,786.0,775.0,280.0,595.0,0.0,122.0
42400.0,793.0,792.0,56.0,595.0,0.0,4.0
43200.0,792.0,819.0,56.0,595.0,0.0,322.0
44000.0,812.0,790.0,343.0,595.0,0.0,63.0
44800.0,834.0,779.0,413.0,595.0,0.0,133.0
45600.0,848.0,795.0,294.0,588.0,0.0,0.0
46400.0,855.0,821.0,294.0,308.0,0.0,0.0
47200.0,844.0,778.0,294.0,133.0,118.0,0.0
48000.0,803.0,778.0,294.0,133.0,99.0,0.0
48800.0,804.0,806.0,294.0,133.0,42.0,0.0
49600.0,806.0,833.0,294.0,133.0,0.0,70.0
50400.0,800.0,803.0,198.0,133.0,0.0,0.0
51200.0,779.0,815.0,84.0,133.0,0.0,0.0
52000.0,776.0,831.0,280.0,133.0,0.0,91.0
52800.0,793.0,833.0,280.0,61.0,0.0,70.0
53600.0,812.0,811.0,280.0,173.0,157.0,0.0
54400.0,806.0,808.0,280.0,399.0,249.0,77.0
