M-A,M-B,S-A,S-B,M-C,M-D,S-C,S-D,M-E,M-F,S-E,S-F,All
,,,,,,,,,,,,
762.0,,,622.0,,,608.0,,,680.0,,,762.0
762.0,,,622.0,,,608.0,,,680.0,,,622.0
762.0,,,622.0,,,608.0,,,680.0,,,608.0
762.0,,,622.0,,,608.0,,,680.0,,,680.0
,598.0,688.0,,620.0,,,845.0,785.0,,778.0,,598.0
,598.0,688.0,,620.0,,,845.0,785.0,,778.0,,688.0
,598.0,688.0,,620.0,,,845.0,785.0,,778.0,,620.0
,598.0,688.0,,620.0,,,845.0,785.0,,778.0,,845.0
,598.0,688.0,,620.0,,,845.0,785.0,,778.0,,785.0
,598.0,688.0,,620.0,,,845.0,785.0,,778.0,,778.0
,605.0,,645.0,,748.0,608.0,,,773.0,,773.0,605.0
,605.0,,645.0,,748.0,608.0,,,773.0,,773.0,645.0
,605.0,,645.0,,748.0,608.0,,,773.0,,773.0,748.0
,605.0,,645.0,,748.0,608.0,,,773.0,,773.0,608.0
,605.0,,645.0,,748.0,608.0,,,773.0,,773.0,773.0
,605.0,,645.0,,748.0,608.0,,,773.0,,773.0,773.0
777.0,,691.0,,627.0,,616.0,,789.0,,759.0,,777.0
777.0,,691.0,,627.0,,616.0,,789.0,,759.0,,691.0
777.0,,691.0,,627.0,,616.0,,789.0,,759.0,,627.0
777.0,,691.0,,627.0,,616.0,,789.0,,759.0,,616.0
777.0,,691.0,,627.0,,616.0,,789.0,,759.0,,789.0
777.0,,691.0,,627.0,,616.0,,789.0,,759.0,,759.0
,626.0,,652.0,,770.0,,797.0,,765.0,,761.0,626.0
,626.0,,652.0,,770.0,,797.0,,765.0,,761.0,652.0
,626.0,,652.0,,770.0,,797.0,,765.0,,761.0,770.0
,626.0,,652.0,,770.0,,797.0,,765.0,,761.0,797.0
,626.0,,652.0,,770.0,,797.0,,765.0,,761.0,765.0
,626.0,,652.0,,770.0,,797.0,,765.0,,761.0,761.0
776.0,,718.0,,640.0,,621.0,,796.0,,757.0,,776.0
