Modo,Direction,Lag,Chi2,p
M,C->D,1,0.89,0.35
S,C->D,1,0.01,0.9
M,D->C,1,2.94,0.09
S,D->C,1,1.51,0.22
M,C->D,2,10.66,0
S,C->D,2,4.72,0.09
M,D->C,2,5.06,0.08
S,D->C,2,1.46,0.48
M,C->D,3,14.78,0
S,C->D,3,4.73,0.19
M,D->C,3,16.26,0
S,D->C,3,1.47,0.69
M,C->D,4,18.09,0
S,C->D,4,5.68,0.22
M,D->C,4,23.46,0
S,D->C,4,1.58,0.81
M,C->D,5,27.12,0
S,C->D,5,6.13,0.29
M,D->C,5,30.24,0
S,D->C,5,1.59,0.9
M,C->D,6,34.6,0
S,C->D,6,6.83,0.34
M,D->C,6,32.53,0
S,D->C,6,1.6,0.95
M,C->D,7,36.31,0
S,C->D,7,8.51,0.29
M,D->C,7,35.18,0
S,D->C,7,2,0.96
M,C->D,8,36.61,0
S,C->D,8,8.5,0.39
M,D->C,8,35.73,0
S,D->C,8,2.36,0.97
M,C->D,9,37.49,0
S,C->D,9,9.23,0.42
M,D->C,9,38.06,0
S,D->C,9,2.32,0.99
M,C->D,10,39.78,0
S,C->D,10,9.66,0.47
M,D->C,10,37.79,0
S,D->C,10,2.71,0.99
