RR Interval [ms],Time
626.953125,2019-11-06 10:27:22.692
628.90625,2019-11-06 10:27:23.321
598.6328125,2019-11-06 10:27:23.919
604.4921875,2019-11-06 10:27:24.524
625.9765625,2019-11-06 10:27:25.150
647.4609375,2019-11-06 10:27:25.797
640.625,2019-11-06 10:27:26.438
635.7421875,2019-11-06 10:27:27.074
665.0390625,2019-11-06 10:27:27.739
700.1953125,2019-11-06 10:27:28.439
711.9140625,2019-11-06 10:27:29.151
687.5,2019-11-06 10:27:29.838
685.546875,2019-11-06 10:27:30.524
713.8671875,2019-11-06 10:27:31.238
711.9140625,2019-11-06 10:27:31.950
717.7734375,2019-11-06 10:27:32.667
708.984375,2019-11-06 10:27:33.376
703.125,2019-11-06 10:27:34.079
705.078125,2019-11-06 10:27:34.785
706.0546875,2019-11-06 10:27:35.491
701.171875,2019-11-06 10:27:36.192
682.6171875,2019-11-06 10:27:36.874
681.640625,2019-11-06 10:27:37.556
691.40625,2019-11-06 10:27:38.247
692.3828125,2019-11-06 10:27:38.940
670.8984375,2019-11-06 10:27:39.611
654.296875,2019-11-06 10:27:40.265
658.203125,2019-11-06 10:27:40.923
670.8984375,2019-11-06 10:27:41.594
683.59375,2019-11-06 10:27:42.278
690.4296875,2019-11-06 10:27:42.968
685.546875,2019-11-06 10:27:43.654
679.6875,2019-11-06 10:27:44.333
697.265625,2019-11-06 10:27:45.031
720.703125,2019-11-06 10:27:45.751
707.03125,2019-11-06 10:27:46.458
694.3359375,2019-11-06 10:27:47.153
694.3359375,2019-11-06 10:27:47.847
690.4296875,2019-11-06 10:27:48.537
689.453125,2019-11-06 10:27:49.227
675.78125,2019-11-06 10:27:49.903
679.6875,2019-11-06 10:27:50.582
678.7109375,2019-11-06 10:27:51.261
672.8515625,2019-11-06 10:27:51.934
657.2265625,2019-11-06 10:27:52.591
665.0390625,2019-11-06 10:27:53.256
680.6640625,2019-11-06 10:27:53.937
704.1015625,2019-11-06 10:27:54.641
728.515625,2019-11-06 10:27:55.370
734.375,2019-11-06 10:27:56.104
719.7265625,2019-11-06 10:27:56.824
729.4921875,2019-11-06 10:27:57.553
737.3046875,2019-11-06 10:27:58.290
727.5390625,2019-11-06 10:27:59.018
714.84375,2019-11-06 10:27:59.733
695.3125,2019-11-06 10:28:00.428
700.1953125,2019-11-06 10:28:01.128
729.4921875,2019-11-06 10:28:01.858
743.1640625,2019-11-06 10:28:02.601
725.5859375,2019-11-06 10:28:03.327
718.75,2019-11-06 10:28:04.045
703.125,2019-11-06 10:28:04.748
703.125,2019-11-06 10:28:05.452
709.9609375,2019-11-06 10:28:06.162
717.7734375,2019-11-06 10:28:06.879
713.8671875,2019-11-06 10:28:07.593
697.265625,2019-11-06 10:28:08.290
685.546875,2019-11-06 10:28:08.976
687.5,2019-11-06 10:28:09.663
702.1484375,2019-11-06 10:28:10.366
721.6796875,2019-11-06 10:28:11.087
701.171875,2019-11-06 10:28:11.788
697.265625,2019-11-06 10:28:12.486
700.1953125,2019-11-06 10:28:13.186
714.84375,2019-11-06 10:28:13.901
743.1640625,2019-11-06 10:28:14.644
740.234375,2019-11-06 10:28:15.384
723.6328125,2019-11-06 10:28:16.108
731.4453125,2019-11-06 10:28:16.839
730.46875,2019-11-06 10:28:17.570
730.46875,2019-11-06 10:28:18.300
706.0546875,2019-11-06 10:28:19.006
702.1484375,2019-11-06 10:28:19.708
726.5625,2019-11-06 10:28:20.435
760.7421875,2019-11-06 10:28:21.196
771.484375,2019-11-06 10:28:21.967
748.046875,2019-11-06 10:28:22.715
730.46875,2019-11-06 10:28:23.446
750.9765625,2019-11-06 10:28:24.197
758.7890625,2019-11-06 10:28:24.955
755.859375,2019-11-06 10:28:25.711
738.28125,2019-11-06 10:28:26.450
718.75,2019-11-06 10:28:27.168
716.796875,2019-11-06 10:28:27.885
720.703125,2019-11-06 10:28:28.606
716.796875,2019-11-06 10:28:29.323
713.8671875,2019-11-06 10:28:30.037
734.7005208333335,2019-11-06 10:28:30.772
734.7005208333335,2019-11-06 10:28:31.506
734.7005208333335,2019-11-06 10:28:32.241
727.5390625,2019-11-06 10:28:32.968
702.1484375,2019-11-06 10:28:33.670
695.3125,2019-11-06 10:28:34.366
697.265625,2019-11-06 10:28:35.063
701.171875,2019-11-06 10:28:35.764
700.1953125,2019-11-06 10:28:36.464
690.4296875,2019-11-06 10:28:37.155
700.1953125,2019-11-06 10:28:37.855
712.890625,2019-11-06 10:28:38.568
719.7265625,2019-11-06 10:28:39.288
734.375,2019-11-06 10:28:40.022
722.65625,2019-11-06 10:28:40.745
729.4921875,2019-11-06 10:28:41.474
728.515625,2019-11-06 10:28:42.203
725.5859375,2019-11-06 10:28:42.928
719.7265625,2019-11-06 10:28:43.648
699.21875,2019-11-06 10:28:44.347
703.125,2019-11-06 10:28:45.050
706.0546875,2019-11-06 10:28:45.756
721.6796875,2019-11-06 10:28:46.478
728.515625,2019-11-06 10:28:47.206
723.6328125,2019-11-06 10:28:47.930
706.0546875,2019-11-06 10:28:48.636
709.9609375,2019-11-06 10:28:49.346
709.9609375,2019-11-06 10:28:50.056
710.9375,2019-11-06 10:28:50.767
719.7265625,2019-11-06 10:28:51.487
702.1484375,2019-11-06 10:28:52.189
687.5,2019-11-06 10:28:52.876
685.546875,2019-11-06 10:28:53.562
711.9140625,2019-11-06 10:28:54.274
724.609375,2019-11-06 10:28:54.998
735.3515625,2019-11-06 10:28:55.734
722.65625,2019-11-06 10:28:56.456
704.1015625,2019-11-06 10:28:57.161
692.3828125,2019-11-06 10:28:57.853
691.40625,2019-11-06 10:28:58.544
694.3359375,2019-11-06 10:28:59.239
700.1953125,2019-11-06 10:28:59.939
708.0078125,2019-11-06 10:29:00.647
708.0078125,2019-11-06 10:29:01.355
702.1484375,2019-11-06 10:29:02.057
693.359375,2019-11-06 10:29:02.750
696.2890625,2019-11-06 10:29:03.447
703.125,2019-11-06 10:29:04.150
698.2421875,2019-11-06 10:29:04.848
692.3828125,2019-11-06 10:29:05.540
672.8515625,2019-11-06 10:29:06.213
654.296875,2019-11-06 10:29:06.868
651.3671875,2019-11-06 10:29:07.519
659.1796875,2019-11-06 10:29:08.178
671.875,2019-11-06 10:29:08.850
668.9453125,2019-11-06 10:29:09.519
657.2265625,2019-11-06 10:29:10.176
675.78125,2019-11-06 10:29:10.852
684.5703125,2019-11-06 10:29:11.537
691.40625,2019-11-06 10:29:12.228
697.265625,2019-11-06 10:29:12.925
695.3125,2019-11-06 10:29:13.621
690.4296875,2019-11-06 10:29:14.311
