TicksTime,PosB,PosA,ScoreB,ScoreA
24404,384,384,0,0
,,,,
24417,384,384,0,0
,,,,
24429,384,384,0,0
,,,,
24443,384,384,0,0
,,,,
24457,384,384,0,0
,,,,
24469,384,384,0,0
,,,,
24481,384,384,0,0
,,,,
24494,384,384,0,0
,,,,
24509,384,384,0,0
,,,,
24521,384,384,0,0
,,,,
24536,384,384,0,0
,,,,
24548,384,384,0,0
,,,,
24563,384,384,0,0
,,,,
24576,384,384,0,0
,,,,
24588,384,384,0,0
,,,,
24603,384,384,0,0
,,,,
24615,384,384,0,0
,,,,
24628,384,384,0,0
,,,,
24642,384,384,0,0
,,,,
24657,384,384,0,0
,,,,
24674,384,384,0,0
,,,,
24690,384,384,0,0
,,,,
24706,384,384,0,0
,,,,
24722,384,384,0,0
,,,,
24737,384,384,0,0
,,,,
24752,384,384,0,0
,,,,
24766,384,384,0,0
,,,,
24780,384,384,0,0
,,,,
24794,384,384,0,0
,,,,
24809,384,384,0,0
,,,,
24826,384,384,0,0
,,,,
24842,384,384,0,0
,,,,
24858,384,384,0,0
,,,,
24872,384,384,0,0
,,,,
24886,384,384,0,0
,,,,
24899,384,384,0,0
,,,,
24912,384,384,0,0
,,,,
24926,384,384,0,0
,,,,
24941,384,384,0,0
,,,,
24955,384,384,0,0
,,,,
24971,384,384,0,0
,,,,
24986,384,384,0,0
,,,,
24998,384,384,0,0
,,,,
25012,384,384,0,0
,,,,
25026,384,384,0,0
,,,,
25037,384,384,0,0
,,,,
25053,384,384,0,0
,,,,
25066,384,391,0,0
,,,,
25080,384,398,0,0
,,,,
25094,384,405,0,0
,,,,
25106,384,412,0,0
,,,,
25119,384,419,0,0
,,,,
25131,384,426,0,0
,,,,
25144,384,433,0,0
,,,,
25159,384,440,0,0
,,,,
25174,384,447,0,0
,,,,
25187,384,454,0,0
,,,,
25202,384,461,0,0
,,,,
25214,384,468,0,0
,,,,
25228,384,475,0,0
,,,,
25242,384,482,0,0
,,,,
25255,384,489,0,0
,,,,
25271,384,496,0,0
,,,,
25285,384,503,0,0
,,,,
25298,384,510,0,0
,,,,
25312,384,517,0,0
,,,,
25327,384,524,0,0
,,,,
25342,384,531,0,0
,,,,
25356,384,538,0,0
,,,,
25371,384,545,0,0
,,,,
25386,384,552,0,0
,,,,
25400,384,559,0,0
,,,,
25415,384,566,0,0
,,,,
25428,384,573,0,0
,,,,
25443,384,580,0,0
,,,,
25453,384,587,0,0
,,,,
25468,384,594,0,0
,,,,
25481,384,601,0,0
,,,,
25496,384,608,0,0
,,,,
25509,384,615,0,0
,,,,
25522,384,622,0,0
,,,,
25537,384,629,0,0
,,,,
25553,384,636,0,0
,,,,
25566,384,636,0,0
,,,,
25579,384,636,0,0
,,,,
25593,384,636,0,0
,,,,
25605,384,636,0,0
,,,,
25620,384,636,0,0
,,,,
25631,384,636,0,0
,,,,
25645,384,636,0,0
,,,,
25660,384,636,0,0
,,,,
25673,384,636,0,0
,,,,
25685,384,636,0,0
,,,,
25697,384,636,0,0
,,,,
25710,384,636,0,0
,,,,
25720,384,636,0,0
,,,,
25737,384,636,0,0
,,,,
25748,384,636,0,0
,,,,
25761,384,636,0,0
,,,,
25775,384,636,0,0
,,,,
25788,391,636,0,0
,,,,
25803,398,636,0,0
,,,,
25817,405,636,0,0
,,,,
25830,412,636,0,0
,,,,
25844,419,636,0,0
,,,,
25859,426,636,0,0
,,,,
25875,433,636,0,0
,,,,
25887,440,636,0,0
,,,,
25903,447,636,0,0
,,,,
25915,454,636,0,0
,,,,
25929,454,636,0,0
,,,,
25944,454,636,0,0
,,,,
25958,454,636,0,0
,,,,
25972,454,636,0,0
,,,,
25985,454,636,0,0
,,,,
25997,454,636,0,0
,,,,
26011,454,636,0,0
,,,,
26025,454,636,0,0
,,,,
26037,454,636,0,0
,,,,
26053,454,636,0,0
,,,,
26065,454,636,0,0
,,,,
26078,454,636,0,0
,,,,
26092,454,636,0,0
,,,,
26104,454,636,0,0
,,,,
26119,461,636,0,0
,,,,
26129,468,636,0,0
,,,,
26144,475,636,0,0
,,,,
26158,482,636,0,0
,,,,
26170,489,636,0,0
,,,,
26186,496,636,0,0
,,,,
26199,503,636,0,0
,,,,
26212,510,636,0,0
,,,,
26225,510,636,0,0
,,,,
26241,510,636,0,0
,,,,
26256,510,636,0,0
,,,,
26270,510,636,0,0
,,,,
26285,510,636,0,0
,,,,
26297,510,636,0,0
,,,,
26310,510,636,0,0
,,,,
26323,510,636,0,0
,,,,
26336,510,636,0,0
,,,,
26351,510,636,0,0
,,,,
26364,510,636,0,0
,,,,
26378,510,636,0,0
,,,,
26389,510,636,0,0
,,,,
26404,510,636,0,0
,,,,
26419,510,636,0,0
,,,,
26431,510,636,0,0
,,,,
26444,510,636,0,0
,,,,
26459,510,636,0,0
,,,,
26470,510,636,0,0
,,,,
26485,510,636,0,0
,,,,
26497,510,636,0,0
,,,,
26511,510,636,0,0
,,,,
26526,510,636,0,0
,,,,
26540,510,636,0,0
,,,,
26554,510,636,0,0
,,,,
26568,510,636,0,0
,,,,
26580,510,636,0,0
,,,,
26595,510,636,0,0
,,,,
26609,510,636,0,0
,,,,
26621,510,636,0,0
,,,,
26636,510,636,0,0
,,,,
26647,510,636,0,0
,,,,
26661,510,636,0,0
,,,,
26675,503,636,0,0
,,,,
26687,496,636,0,0
,,,,
26701,489,636,0,0
,,,,
26712,482,636,0,0
,,,,
26727,475,636,0,0
,,,,
26741,468,636,0,0
,,,,
26754,461,636,0,0
,,,,
26769,454,636,0,0
,,,,
26780,447,636,0,0
,,,,
26794,440,636,0,0
,,,,
26809,440,636,0,0
,,,,
26821,440,636,0,0
,,,,
26836,440,636,0,0
,,,,
26850,440,636,0,0
,,,,
26864,440,636,0,0
,,,,
26878,440,636,0,0
,,,,
26892,440,636,0,0
,,,,
26904,440,636,0,0
,,,,
26919,440,636,0,0
,,,,
26931,440,636,0,0
,,,,
26944,440,636,0,0
,,,,
26959,440,636,0,0
,,,,
26973,440,636,0,0
,,,,
26987,440,636,0,0
,,,,
27003,440,636,0,0
,,,,
27019,440,636,0,0
,,,,
27030,440,636,0,0
,,,,
27045,440,636,0,0
,,,,
27061,440,636,0,0
,,,,
27075,440,636,0,0
,,,,
27088,440,636,0,0
,,,,
27104,440,636,0,0
,,,,
27120,440,636,0,0
,,,,
27136,440,636,0,0
,,,,
27151,440,636,0,0
,,,,
27165,440,636,0,0
,,,,
27180,440,636,0,0
,,,,
27195,440,636,0,0
,,,,
27212,440,636,0,0
,,,,
27227,440,636,0,0
,,,,
27243,440,636,0,0
,,,,
27256,440,636,0,0
,,,,
27271,440,636,0,0
,,,,
27287,440,636,0,0
,,,,
27303,440,636,0,0
,,,,
27318,440,636,0,0
,,,,
27332,440,636,0,0
,,,,
27347,440,636,0,0
,,,,
27361,440,636,0,0
,,,,
27376,440,636,0,0
,,,,
27390,440,636,0,0
,,,,
27404,440,636,0,0
,,,,
27418,440,636,0,0
,,,,
27431,440,636,0,0
,,,,
27444,440,636,0,0
,,,,
27457,440,636,0,0
,,,,
