RR Interval [ms],Time
620.1171875,2019-11-06 11:29:22.074
632.8125,2019-11-06 11:29:22.707
645.5078125,2019-11-06 11:29:23.352
652.34375,2019-11-06 11:29:24.004
643.5546875,2019-11-06 11:29:24.648
639.6484375,2019-11-06 11:29:25.288
645.5078125,2019-11-06 11:29:25.933
645.5078125,2019-11-06 11:29:26.579
635.7421875,2019-11-06 11:29:27.214
615.234375,2019-11-06 11:29:27.830
608.3984375,2019-11-06 11:29:28.438
609.375,2019-11-06 11:29:29.047
603.515625,2019-11-06 11:29:29.651
606.4453125,2019-11-06 11:29:30.257
620.1171875,2019-11-06 11:29:30.877
641.6015625,2019-11-06 11:29:31.519
666.015625,2019-11-06 11:29:32.185
667.96875,2019-11-06 11:29:32.853
663.0859375,2019-11-06 11:29:33.516
670.8984375,2019-11-06 11:29:34.187
672.8515625,2019-11-06 11:29:34.860
675.78125,2019-11-06 11:29:35.536
662.109375,2019-11-06 11:29:36.198
644.53125,2019-11-06 11:29:36.842
622.0703125,2019-11-06 11:29:37.464
613.28125,2019-11-06 11:29:38.078
607.421875,2019-11-06 11:29:38.685
618.1640625,2019-11-06 11:29:39.303
624.0234375,2019-11-06 11:29:39.927
634.765625,2019-11-06 11:29:40.562
636.71875,2019-11-06 11:29:41.199
632.8125,2019-11-06 11:29:41.832
630.859375,2019-11-06 11:29:42.462
623.046875,2019-11-06 11:29:43.085
624.0234375,2019-11-06 11:29:43.709
646.484375,2019-11-06 11:29:44.356
686.5234375,2019-11-06 11:29:45.043
708.0078125,2019-11-06 11:29:45.751
707.03125,2019-11-06 11:29:46.458
708.984375,2019-11-06 11:29:47.167
742.1875,2019-11-06 11:29:47.909
764.6484375,2019-11-06 11:29:48.673
783.203125,2019-11-06 11:29:49.457
764.6484375,2019-11-06 11:29:50.221
750.0,2019-11-06 11:29:50.971
735.3515625,2019-11-06 11:29:51.707
716.796875,2019-11-06 11:29:52.423
705.078125,2019-11-06 11:29:53.128
702.1484375,2019-11-06 11:29:53.831
703.125,2019-11-06 11:29:54.534
702.1484375,2019-11-06 11:29:55.236
692.3828125,2019-11-06 11:29:55.928
681.640625,2019-11-06 11:29:56.610
671.875,2019-11-06 11:29:57.282
659.1796875,2019-11-06 11:29:57.941
650.390625,2019-11-06 11:29:58.591
659.1796875,2019-11-06 11:29:59.251
671.875,2019-11-06 11:29:59.922
666.9921875,2019-11-06 11:30:00.589
663.0859375,2019-11-06 11:30:01.252
654.296875,2019-11-06 11:30:01.907
648.4375,2019-11-06 11:30:02.555
656.25,2019-11-06 11:30:03.211
657.2265625,2019-11-06 11:30:03.869
666.015625,2019-11-06 11:30:04.535
670.8984375,2019-11-06 11:30:05.206
664.0625,2019-11-06 11:30:05.870
669.921875,2019-11-06 11:30:06.540
671.875,2019-11-06 11:30:07.211
674.8046875,2019-11-06 11:30:07.886
673.828125,2019-11-06 11:30:08.560
678.7109375,2019-11-06 11:30:09.239
678.7109375,2019-11-06 11:30:09.918
677.734375,2019-11-06 11:30:10.595
666.9921875,2019-11-06 11:30:11.262
670.8984375,2019-11-06 11:30:11.933
671.875,2019-11-06 11:30:12.605
669.921875,2019-11-06 11:30:13.275
669.921875,2019-11-06 11:30:13.945
657.2265625,2019-11-06 11:30:14.602
642.578125,2019-11-06 11:30:15.245
641.6015625,2019-11-06 11:30:15.886
643.5546875,2019-11-06 11:30:16.530
661.1328125,2019-11-06 11:30:17.191
666.015625,2019-11-06 11:30:17.857
662.109375,2019-11-06 11:30:18.519
653.3203125,2019-11-06 11:30:19.172
647.4609375,2019-11-06 11:30:19.820
649.4140625,2019-11-06 11:30:20.469
647.4609375,2019-11-06 11:30:21.117
647.4609375,2019-11-06 11:30:21.764
643.5546875,2019-11-06 11:30:22.408
639.6484375,2019-11-06 11:30:23.047
633.7890625,2019-11-06 11:30:23.681
639.6484375,2019-11-06 11:30:24.321
656.25,2019-11-06 11:30:24.977
670.8984375,2019-11-06 11:30:25.648
679.6875,2019-11-06 11:30:26.328
690.4296875,2019-11-06 11:30:27.018
690.4296875,2019-11-06 11:30:27.709
675.78125,2019-11-06 11:30:28.384
675.78125,2019-11-06 11:30:29.060
665.0390625,2019-11-06 11:30:29.725
661.1328125,2019-11-06 11:30:30.386
658.203125,2019-11-06 11:30:31.044
643.5546875,2019-11-06 11:30:31.688
639.6484375,2019-11-06 11:30:32.328
645.5078125,2019-11-06 11:30:32.973
659.1796875,2019-11-06 11:30:33.632
662.109375,2019-11-06 11:30:34.294
660.15625,2019-11-06 11:30:34.955
669.921875,2019-11-06 11:30:35.625
681.640625,2019-11-06 11:30:36.306
679.6875,2019-11-06 11:30:36.986
679.6875,2019-11-06 11:30:37.666
674.8046875,2019-11-06 11:30:38.340
668.9453125,2019-11-06 11:30:39.009
664.0625,2019-11-06 11:30:39.673
656.25,2019-11-06 11:30:40.330
652.34375,2019-11-06 11:30:40.982
648.4375,2019-11-06 11:30:41.630
635.7421875,2019-11-06 11:30:42.266
642.578125,2019-11-06 11:30:42.909
659.1796875,2019-11-06 11:30:43.568
665.0390625,2019-11-06 11:30:44.233
671.875,2019-11-06 11:30:44.905
667.96875,2019-11-06 11:30:45.573
664.0625,2019-11-06 11:30:46.237
663.0859375,2019-11-06 11:30:46.900
669.921875,2019-11-06 11:30:47.570
665.0390625,2019-11-06 11:30:48.235
656.25,2019-11-06 11:30:48.891
649.4140625,2019-11-06 11:30:49.541
656.25,2019-11-06 11:30:50.197
659.1796875,2019-11-06 11:30:50.856
664.0625,2019-11-06 11:30:51.520
654.296875,2019-11-06 11:30:52.174
629.8828125,2019-11-06 11:30:52.804
635.7421875,2019-11-06 11:30:53.440
635.7421875,2019-11-06 11:30:54.076
644.53125,2019-11-06 11:30:54.720
661.1328125,2019-11-06 11:30:55.381
668.9453125,2019-11-06 11:30:56.050
667.96875,2019-11-06 11:30:56.718
658.203125,2019-11-06 11:30:57.376
673.828125,2019-11-06 11:30:58.050
671.875,2019-11-06 11:30:58.722
674.8046875,2019-11-06 11:30:59.397
669.921875,2019-11-06 11:31:00.067
666.015625,2019-11-06 11:31:00.733
658.203125,2019-11-06 11:31:01.391
650.390625,2019-11-06 11:31:02.042
646.484375,2019-11-06 11:31:02.688
636.71875,2019-11-06 11:31:03.325
630.859375,2019-11-06 11:31:03.956
620.1171875,2019-11-06 11:31:04.576
630.859375,2019-11-06 11:31:05.207
655.2734375,2019-11-06 11:31:05.862
670.8984375,2019-11-06 11:31:06.533
683.59375,2019-11-06 11:31:07.216
