TicksTime,BallPosX,BallPosY,BallSpeed,PosA,PosPC,ScoreA,ScorePC
21971,684,388,4,384,390,0,0
21986,688,392,4,384,396,0,0
22000,692,396,4,384,402,0,0
22014,696,400,4,384,408,0,0
22031,700,404,4,384,414,0,0
22047,704,408,4,384,420,0,0
22063,708,412,4,384,426,0,0
22080,712,416,4,384,432,0,0
22096,716,420,4,384,438,0,0
22112,720,424,4,384,444,0,0
22128,724,428,4,384,450,0,0
22143,728,432,4,384,456,0,0
22157,732,436,4,384,462,0,0
22172,736,440,4,384,468,0,0
22188,740,444,4,384,474,0,0
22205,744,448,4,384,480,0,0
22221,748,452,4,384,486,0,0
22237,752,456,4,384,492,0,0
22254,756,460,4,384,498,0,0
22268,760,464,4,384,504,0,0
22283,764,468,4,384,510,0,0
22299,768,472,4,384,516,0,0
22314,772,476,4,384,522,0,0
22330,776,480,4,384,528,0,0
22345,780,484,4,384,534,0,0
22361,784,488,4,384,540,0,0
22375,788,492,4,384,540,0,0
22395,792,496,4,384,546,0,0
22410,796,500,4,384,546,0,0
22423,800,504,4,384,552,0,0
22439,804,508,4,384,552,0,0
22454,808,512,4,384,552,0,0
22468,812,516,4,384,552,0,0
22483,816,520,4,384,552,0,0
22498,820,524,4,384,552,0,0
22513,824,528,4,384,552,0,0
22529,828,532,4,384,552,0,0
22542,832,536,4,384,552,0,0
22558,836,540,4,384,552,0,0
22572,840,544,4,384,552,0,0
22585,844,548,4,384,552,0,0
22605,848,552,4,384,552,0,0
22618,852,556,4,384,552,0,0
22637,856,560,4,384,552,0,0
22655,860,564,4,384,552,0,0
22670,864,568,4,384,552,0,0
22684,868,572,4,384,552,0,0
22700,872,576,4,384,552,0,0
22715,876,580,4,384,552,0,0
22732,880,584,4,384,552,0,0
22748,884,588,4,384,552,0,0
22763,888,592,4,384,552,0,0
22778,892,596,4,384,552,0,0
22792,896,600,4,384,552,0,0
22806,900,604,4,384,552,0,0
22822,904,608,4,384,552,0,0
22838,908,612,4,384,552,0,0
22854,912,616,4,384,558,0,0
22868,916,620,4,384,558,0,0
22883,920,624,4,384,558,0,0
22898,924,628,4,384,558,0,0
22916,928,632,4,384,558,0,0
22931,932,636,4,384,558,0,0
22946,936,640,4,384,558,0,0
22961,940,644,4,384,558,0,0
22975,944,648,4,384,558,0,0
22991,948,652,4,384,558,0,0
23005,952,656,4,384,558,0,0
23021,956,660,4,384,558,0,0
23036,960,664,4,384,558,0,0
23050,964,668,4,384,558,0,0
23066,968,672,4,384,558,0,0
23082,972,676,4,391,558,0,0
23099,976,680,4,398,558,0,0
23113,980,684,4,405,558,0,0
23127,984,688,4,412,558,0,0
23142,988,692,4,419,558,0,0
23157,992,696,4,426,558,0,0
23172,996,700,4,433,558,0,0
23188,1000,704,4,440,558,0,0
23203,1004,708,4,447,558,0,0
23217,1008,712,4,454,558,0,0
23232,1012,716,4,461,558,0,0
23247,1016,720,4,468,558,0,0
23260,1020,724,4,475,558,0,0
23274,1024,728,4,482,558,0,0
23289,1028,732,4,489,558,0,0
23307,1032,736,4,489,558,0,0
23322,1036,740,4,489,558,0,0
23338,1040,744,4,489,564,0,0
23353,1044,748,4,489,564,0,0
23368,1048,752,4,489,564,0,0
23383,1052,756,4,489,564,0,0
23399,1056,760,4,489,564,0,0
23416,1060,756,4,489,564,0,0
23430,1064,752,4,489,564,0,0
23443,1068,748,4,489,564,0,0
23459,1072,744,4,489,564,0,0
23473,1076,740,4,489,564,0,0
23486,1080,736,4,489,564,0,0
23506,1084,732,4,489,564,0,0
23520,1088,728,4,489,564,0,0
23537,1092,724,4,489,564,0,0
23553,1096,720,4,489,564,0,0
23568,1100,716,4,489,564,0,0
23583,1104,712,4,489,564,0,0
23598,1108,708,4,489,564,0,0
23612,1112,704,4,489,564,0,0
23626,1116,700,4,489,564,0,0
23642,1120,696,4,489,564,0,0
23656,1124,692,4,489,564,0,0
23671,1128,688,4,489,564,0,0
23687,1132,684,4,489,564,0,0
23702,1136,680,4,489,558,0,0
23717,1140,676,4,489,558,0,0
23733,1144,672,4,489,558,0,0
23748,1148,668,4,489,558,0,0
23761,1152,664,4,489,558,0,0
