RR Interval [ms],Time
679.6875,2019-11-06 11:29:21.832
696.2890625,2019-11-06 11:29:22.528
687.5,2019-11-06 11:29:23.216
691.40625,2019-11-06 11:29:23.907
717.7734375,2019-11-06 11:29:24.625
756.8359375,2019-11-06 11:29:25.382
735.3515625,2019-11-06 11:29:26.117
707.03125,2019-11-06 11:29:26.824
702.1484375,2019-11-06 11:29:27.527
728.515625,2019-11-06 11:29:28.255
750.0,2019-11-06 11:29:29.005
714.84375,2019-11-06 11:29:29.720
718.75,2019-11-06 11:29:30.439
717.7734375,2019-11-06 11:29:31.156
726.5625,2019-11-06 11:29:31.883
710.9375,2019-11-06 11:29:32.594
726.5625,2019-11-06 11:29:33.320
738.28125,2019-11-06 11:29:34.059
707.03125,2019-11-06 11:29:34.766
699.21875,2019-11-06 11:29:35.465
715.8203125,2019-11-06 11:29:36.181
725.5859375,2019-11-06 11:29:36.906
701.171875,2019-11-06 11:29:37.608
708.984375,2019-11-06 11:29:38.317
727.5390625,2019-11-06 11:29:39.044
740.234375,2019-11-06 11:29:39.784
702.1484375,2019-11-06 11:29:40.486
700.1953125,2019-11-06 11:29:41.187
705.078125,2019-11-06 11:29:41.892
720.703125,2019-11-06 11:29:42.612
695.3125,2019-11-06 11:29:43.308
693.359375,2019-11-06 11:29:44.001
704.1015625,2019-11-06 11:29:44.705
710.9375,2019-11-06 11:29:45.416
701.171875,2019-11-06 11:29:46.117
688.4765625,2019-11-06 11:29:46.806
709.9609375,2019-11-06 11:29:47.516
716.796875,2019-11-06 11:29:48.233
710.9375,2019-11-06 11:29:48.944
683.59375,2019-11-06 11:29:49.627
704.1015625,2019-11-06 11:29:50.331
718.75,2019-11-06 11:29:51.050
727.5390625,2019-11-06 11:29:51.777
702.1484375,2019-11-06 11:29:52.480
717.7734375,2019-11-06 11:29:53.197
750.0,2019-11-06 11:29:53.947
750.0,2019-11-06 11:29:54.697
711.9140625,2019-11-06 11:29:55.409
683.59375,2019-11-06 11:29:56.093
675.78125,2019-11-06 11:29:56.769
666.015625,2019-11-06 11:29:57.435
676.7578125,2019-11-06 11:29:58.111
679.6875,2019-11-06 11:29:58.791
666.9921875,2019-11-06 11:29:59.458
649.4140625,2019-11-06 11:30:00.108
652.34375,2019-11-06 11:30:00.760
684.5703125,2019-11-06 11:30:01.444
713.8671875,2019-11-06 11:30:02.158
694.3359375,2019-11-06 11:30:02.853
690.4296875,2019-11-06 11:30:03.543
705.078125,2019-11-06 11:30:04.248
735.3515625,2019-11-06 11:30:04.984
769.53125,2019-11-06 11:30:05.753
756.8359375,2019-11-06 11:30:06.510
725.5859375,2019-11-06 11:30:07.235
731.4453125,2019-11-06 11:30:07.967
749.0234375,2019-11-06 11:30:08.716
745.1171875,2019-11-06 11:30:09.461
719.7265625,2019-11-06 11:30:10.181
726.5625,2019-11-06 11:30:10.907
744.140625,2019-11-06 11:30:11.652
749.0234375,2019-11-06 11:30:12.401
705.078125,2019-11-06 11:30:13.106
696.2890625,2019-11-06 11:30:13.802
692.3828125,2019-11-06 11:30:14.494
720.703125,2019-11-06 11:30:15.215
772.4609375,2019-11-06 11:30:15.987
773.4375,2019-11-06 11:30:16.761
730.46875,2019-11-06 11:30:17.491
710.9375,2019-11-06 11:30:18.202
712.890625,2019-11-06 11:30:18.915
714.84375,2019-11-06 11:30:19.630
701.171875,2019-11-06 11:30:20.331
712.890625,2019-11-06 11:30:21.044
735.3515625,2019-11-06 11:30:21.779
734.375,2019-11-06 11:30:22.514
716.796875,2019-11-06 11:30:23.231
740.234375,2019-11-06 11:30:23.971
750.9765625,2019-11-06 11:30:24.722
737.3046875,2019-11-06 11:30:25.459
710.9375,2019-11-06 11:30:26.170
717.7734375,2019-11-06 11:30:26.888
714.84375,2019-11-06 11:30:27.603
701.171875,2019-11-06 11:30:28.304
681.640625,2019-11-06 11:30:28.985
690.4296875,2019-11-06 11:30:29.676
712.890625,2019-11-06 11:30:30.389
744.140625,2019-11-06 11:30:31.133
710.9375,2019-11-06 11:30:31.844
701.171875,2019-11-06 11:30:32.545
719.7265625,2019-11-06 11:30:33.265
726.5625,2019-11-06 11:30:33.991
708.0078125,2019-11-06 11:30:34.699
710.9375,2019-11-06 11:30:35.410
716.796875,2019-11-06 11:30:36.127
718.75,2019-11-06 11:30:36.846
692.3828125,2019-11-06 11:30:37.538
688.4765625,2019-11-06 11:30:38.227
692.3828125,2019-11-06 11:30:38.919
688.4765625,2019-11-06 11:30:39.608
677.734375,2019-11-06 11:30:40.285
684.5703125,2019-11-06 11:30:40.970
675.78125,2019-11-06 11:30:41.646
655.2734375,2019-11-06 11:30:42.301
664.0625,2019-11-06 11:30:42.965
687.5,2019-11-06 11:30:43.652
679.6875,2019-11-06 11:30:44.332
688.4765625,2019-11-06 11:30:45.021
718.75,2019-11-06 11:30:45.739
749.0234375,2019-11-06 11:30:46.488
788.0859375,2019-11-06 11:30:47.277
758.7890625,2019-11-06 11:30:48.035
730.46875,2019-11-06 11:30:48.766
728.515625,2019-11-06 11:30:49.494
727.5390625,2019-11-06 11:30:50.222
685.546875,2019-11-06 11:30:50.907
686.5234375,2019-11-06 11:30:51.594
707.03125,2019-11-06 11:30:52.301
746.09375,2019-11-06 11:30:53.047
769.53125,2019-11-06 11:30:53.817
732.421875,2019-11-06 11:30:54.549
718.75,2019-11-06 11:30:55.268
725.5859375,2019-11-06 11:30:55.993
738.28125,2019-11-06 11:30:56.732
715.8203125,2019-11-06 11:30:57.447
705.078125,2019-11-06 11:30:58.152
726.5625,2019-11-06 11:30:58.879
749.0234375,2019-11-06 11:30:59.628
724.609375,2019-11-06 11:31:00.353
706.0546875,2019-11-06 11:31:01.059
726.5625,2019-11-06 11:31:01.785
735.3515625,2019-11-06 11:31:02.521
702.1484375,2019-11-06 11:31:03.223
673.828125,2019-11-06 11:31:03.897
669.921875,2019-11-06 11:31:04.567
673.828125,2019-11-06 11:31:05.240
739.2578125,2019-11-06 11:31:05.980
775.390625,2019-11-06 11:31:06.755
755.859375,2019-11-06 11:31:07.511
723.6328125,2019-11-06 11:31:08.235
692.3828125,2019-11-06 11:31:08.927
695.3125,2019-11-06 11:31:09.622
708.0078125,2019-11-06 11:31:10.330
737.3046875,2019-11-06 11:31:11.068
750.9765625,2019-11-06 11:31:11.819
729.4921875,2019-11-06 11:31:12.548
735.3515625,2019-11-06 11:31:13.283
745.1171875,2019-11-06 11:31:14.028
748.046875,2019-11-06 11:31:14.777
712.890625,2019-11-06 11:31:15.489
701.171875,2019-11-06 11:31:16.191
698.2421875,2019-11-06 11:31:16.889
702.1484375,2019-11-06 11:31:17.591
718.75,2019-11-06 11:31:18.310
707.03125,2019-11-06 11:31:19.017
709.9609375,2019-11-06 11:31:19.727
728.515625,2019-11-06 11:31:20.455
725.5859375,2019-11-06 11:31:21.181
727.5390625,2019-11-06 11:31:21.908
679.6875,2019-11-06 11:31:22.588
661.1328125,2019-11-06 11:31:23.249
653.3203125,2019-11-06 11:31:23.902
658.203125,2019-11-06 11:31:24.561
687.5,2019-11-06 11:31:25.248
731.4453125,2019-11-06 11:31:25.980
735.3515625,2019-11-06 11:31:26.715
712.890625,2019-11-06 11:31:27.428
682.6171875,2019-11-06 11:31:28.110
663.0859375,2019-11-06 11:31:28.774
644.53125,2019-11-06 11:31:29.418
634.765625,2019-11-06 11:31:30.053
617.1875,2019-11-06 11:31:30.670
626.953125,2019-11-06 11:31:31.297
641.6015625,2019-11-06 11:31:31.939
665.0390625,2019-11-06 11:31:32.604
683.59375,2019-11-06 11:31:33.287
671.875,2019-11-06 11:31:33.959
662.109375,2019-11-06 11:31:34.621
678.7109375,2019-11-06 11:31:35.300
738.28125,2019-11-06 11:31:36.038
794.921875,2019-11-06 11:31:36.833
759.765625,2019-11-06 11:31:37.593
718.75,2019-11-06 11:31:38.312
719.7265625,2019-11-06 11:31:39.031
717.7734375,2019-11-06 11:31:39.749
721.6796875,2019-11-06 11:31:40.471
704.1015625,2019-11-06 11:31:41.175
710.9375,2019-11-06 11:31:41.886
711.9140625,2019-11-06 11:31:42.598
694.3359375,2019-11-06 11:31:43.292
673.828125,2019-11-06 11:31:43.966
692.3828125,2019-11-06 11:31:44.658
719.7265625,2019-11-06 11:31:45.378
729.4921875,2019-11-06 11:31:46.108
720.703125,2019-11-06 11:31:46.828
719.7265625,2019-11-06 11:31:47.548
707.03125,2019-11-06 11:31:48.255
692.3828125,2019-11-06 11:31:48.947
678.7109375,2019-11-06 11:31:49.626
691.40625,2019-11-06 11:31:50.318
710.9375,2019-11-06 11:31:51.028
711.9140625,2019-11-06 11:31:51.740
699.21875,2019-11-06 11:31:52.440
715.8203125,2019-11-06 11:31:53.155
729.4921875,2019-11-06 11:31:53.885
699.21875,2019-11-06 11:31:54.584
697.265625,2019-11-06 11:31:55.281
707.03125,2019-11-06 11:31:55.988
714.84375,2019-11-06 11:31:56.703
695.3125,2019-11-06 11:31:57.399
686.5234375,2019-11-06 11:31:58.085
698.2421875,2019-11-06 11:31:58.783
713.8671875,2019-11-06 11:31:59.497
716.796875,2019-11-06 11:32:00.214
691.40625,2019-11-06 11:32:00.905
702.1484375,2019-11-06 11:32:01.608
724.609375,2019-11-06 11:32:02.332
741.2109375,2019-11-06 11:32:03.073
705.078125,2019-11-06 11:32:03.778
694.3359375,2019-11-06 11:32:04.473
695.3125,2019-11-06 11:32:05.168
682.6171875,2019-11-06 11:32:05.851
