TicksTime,BallPosX,BallPosY,BallSpeed,PosB,PosPC,ScoreB,ScorePC
21254,679,388,4,384,384,0,0
,,,,,,,
21267,675,392,4,384,384,0,0
,,,,,,,
21279,671,396,4,384,384,0,0
,,,,,,,
21292,667,400,4,384,384,0,0
,,,,,,,
21306,663,404,4,384,384,0,0
,,,,,,,
21319,659,408,4,384,384,0,0
,,,,,,,
21334,655,412,4,384,384,0,0
,,,,,,,
21345,651,416,4,384,384,0,0
,,,,,,,
21359,647,420,4,384,384,0,0
,,,,,,,
21373,643,424,4,384,384,0,0
,,,,,,,
21385,639,428,4,384,384,0,0
,,,,,,,
21399,635,432,4,384,384,0,0
,,,,,,,
21412,631,436,4,384,384,0,0
,,,,,,,
21426,627,440,4,384,384,0,0
,,,,,,,
21442,623,444,4,384,384,0,0
,,,,,,,
21454,619,448,4,384,384,0,0
,,,,,,,
21470,615,452,4,384,384,0,0
,,,,,,,
21486,611,456,4,384,384,0,0
,,,,,,,
21501,607,460,4,384,384,0,0
,,,,,,,
21517,603,464,4,384,384,0,0
,,,,,,,
21532,599,468,4,384,384,0,0
,,,,,,,
21546,595,472,4,384,384,0,0
,,,,,,,
21560,591,476,4,384,384,0,0
,,,,,,,
21574,587,480,4,384,384,0,0
,,,,,,,
21587,583,484,4,384,384,0,0
,,,,,,,
21601,579,488,4,384,384,0,0
,,,,,,,
21617,575,492,4,384,384,0,0
,,,,,,,
21632,571,496,4,384,384,0,0
,,,,,,,
21645,567,500,4,384,384,0,0
,,,,,,,
21659,563,504,4,384,384,0,0
,,,,,,,
21673,559,508,4,384,384,0,0
,,,,,,,
21686,555,512,4,384,384,0,0
,,,,,,,
21701,551,516,4,384,384,0,0
,,,,,,,
21716,547,520,4,384,384,0,0
,,,,,,,
21730,543,524,4,384,384,0,0
,,,,,,,
21744,539,528,4,384,384,0,0
,,,,,,,
21758,535,532,4,384,384,0,0
,,,,,,,
21774,531,536,4,384,384,0,0
,,,,,,,
21790,527,540,4,384,384,0,0
,,,,,,,
21804,523,544,4,384,384,0,0
,,,,,,,
21818,519,548,4,384,384,0,0
,,,,,,,
21833,515,552,4,384,384,0,0
,,,,,,,
21844,511,556,4,384,384,0,0
,,,,,,,
21856,507,560,4,384,384,0,0
,,,,,,,
21869,503,564,4,384,384,0,0
,,,,,,,
21884,499,568,4,384,384,0,0
,,,,,,,
21897,495,572,4,384,384,0,0
,,,,,,,
21909,491,576,4,384,384,0,0
,,,,,,,
21924,487,580,4,384,384,0,0
,,,,,,,
21936,483,584,4,384,384,0,0
,,,,,,,
21950,479,588,4,384,384,0,0
,,,,,,,
21964,475,592,4,384,384,0,0
,,,,,,,
21977,471,596,4,384,384,0,0
,,,,,,,
21990,467,600,4,384,384,0,0
,,,,,,,
22002,463,604,4,384,384,0,0
,,,,,,,
22016,459,608,4,384,384,0,0
,,,,,,,
22027,455,612,4,384,384,0,0
,,,,,,,
22042,451,616,4,384,384,0,0
,,,,,,,
22057,447,620,4,384,384,0,0
,,,,,,,
22070,443,624,4,384,384,0,0
,,,,,,,
22084,439,628,4,384,384,0,0
,,,,,,,
22098,435,632,4,384,384,0,0
,,,,,,,
22110,431,636,4,384,384,0,0
,,,,,,,
22123,427,640,4,384,384,0,0
,,,,,,,
22134,423,644,4,384,384,0,0
,,,,,,,
22147,419,648,4,384,384,0,0
,,,,,,,
22159,415,652,4,384,384,0,0
,,,,,,,
22173,411,656,4,384,384,0,0
,,,,,,,
22185,407,660,4,384,384,0,0
,,,,,,,
22200,403,664,4,384,384,0,0
,,,,,,,
22212,399,668,4,384,384,0,0
,,,,,,,
22227,395,672,4,384,384,0,0
,,,,,,,
22250,391,676,4,384,384,0,0
,,,,,,,
22265,387,680,4,384,384,0,0
,,,,,,,
22279,383,684,4,384,384,0,0
,,,,,,,
22295,379,688,4,384,384,0,0
,,,,,,,
22311,375,692,4,384,384,0,0
,,,,,,,
22326,371,696,4,384,384,0,0
,,,,,,,
22342,367,700,4,384,384,0,0
,,,,,,,
22358,363,704,4,384,384,0,0
,,,,,,,
22374,359,708,4,384,384,0,0
,,,,,,,
22389,355,712,4,384,384,0,0
,,,,,,,
22403,351,716,4,384,384,0,0
,,,,,,,
22419,347,720,4,384,384,0,0
,,,,,,,
22435,343,724,4,384,384,0,0
,,,,,,,
22450,339,728,4,384,384,0,0
,,,,,,,
22466,335,732,4,384,384,0,0
,,,,,,,
22478,331,736,4,384,384,0,0
,,,,,,,
22493,327,740,4,384,384,0,0
,,,,,,,
22509,323,744,4,384,384,0,0
,,,,,,,
22525,319,748,4,384,384,0,0
,,,,,,,
22540,315,752,4,384,384,0,0
,,,,,,,
22553,311,756,4,384,384,0,0
,,,,,,,
22567,307,760,4,384,384,0,0
,,,,,,,
22580,303,756,4,384,384,0,0
,,,,,,,
22593,299,752,4,384,384,0,0
,,,,,,,
22606,295,748,4,384,384,0,0
,,,,,,,
22618,291,744,4,384,384,0,0
,,,,,,,
22632,287,740,4,384,384,0,0
,,,,,,,
22643,283,736,4,384,384,0,0
,,,,,,,
22657,279,732,4,384,384,0,0
,,,,,,,
22672,275,728,4,384,384,0,0
,,,,,,,
22686,271,724,4,384,384,0,0
,,,,,,,
22702,267,720,4,384,384,0,0
,,,,,,,
22715,263,716,4,384,384,0,0
,,,,,,,
22727,259,712,4,384,384,0,0
,,,,,,,
22743,255,708,4,384,384,0,0
,,,,,,,
22756,251,704,4,384,384,0,0
,,,,,,,
22769,247,700,4,384,384,0,0
,,,,,,,
22783,243,696,4,384,384,0,0
,,,,,,,
22795,239,692,4,384,384,0,0
,,,,,,,
22809,235,688,4,384,384,0,0
,,,,,,,
22823,231,684,4,391,384,0,0
,,,,,,,
22836,227,680,4,398,384,0,0
,,,,,,,
22851,223,676,4,405,384,0,0
,,,,,,,
22862,219,672,4,412,384,0,0
,,,,,,,
22875,215,668,4,419,384,0,0
,,,,,,,
22889,211,664,4,419,384,0,0
,,,,,,,
22902,207,660,4,419,384,0,0
,,,,,,,
22916,203,656,4,419,384,0,0
,,,,,,,
22928,199,652,4,419,384,0,0
,,,,,,,
22942,195,648,4,419,384,0,0
,,,,,,,
22956,191,644,4,419,384,0,0
,,,,,,,
22972,187,640,4,419,384,0,0
,,,,,,,
22985,183,636,4,419,384,0,0
,,,,,,,
23001,179,632,4,419,384,0,0
,,,,,,,
23014,175,628,4,419,384,0,0
,,,,,,,
23027,171,624,4,419,384,0,0
,,,,,,,
23041,167,620,4,419,384,0,0
,,,,,,,
23056,163,616,4,419,384,0,0
,,,,,,,
23068,159,612,4,419,384,0,0
,,,,,,,
23083,155,608,4,419,384,0,0
,,,,,,,
23095,151,604,4,419,384,0,0
,,,,,,,
23107,147,600,4,419,384,0,0
,,,,,,,
23121,143,596,4,419,384,0,0
,,,,,,,
23135,139,592,4,419,384,0,0
,,,,,,,
23152,135,588,4,419,384,0,0
,,,,,,,
23165,131,584,4,419,384,0,0
,,,,,,,
23178,127,580,4,419,384,0,0
,,,,,,,
23193,123,576,4,419,384,0,0
,,,,,,,
23208,119,572,4,419,384,0,0
,,,,,,,
23222,115,568,4,419,384,0,0
,,,,,,,
23235,111,564,4,419,384,0,0
,,,,,,,
23250,107,560,4,419,384,0,0
,,,,,,,
23262,103,556,4,419,384,0,0
,,,,,,,
23275,99,552,4,419,384,0,0
,,,,,,,
23287,95,548,4,419,384,0,0
,,,,,,,
23300,91,544,4,419,384,0,0
,,,,,,,
23315,87,540,4,419,384,0,0
,,,,,,,
23327,83,536,4,426,384,0,0
,,,,,,,
23339,79,532,4,433,384,0,0
,,,,,,,
23353,75,528,4,440,384,0,0
,,,,,,,
23368,71,524,4,447,384,0,0
,,,,,,,
23391,71,524,4,454,384,0,0
,,,,,,,
23406,75,528,4,461,384,0,0
,,,,,,,
23418,79,532,4,461,384,0,0
,,,,,,,
23432,83,536,4,461,384,0,0
,,,,,,,
23444,87,540,4,461,384,0,0
,,,,,,,
23457,91,544,4,461,384,0,0
,,,,,,,
23472,95,548,4,461,384,0,0
,,,,,,,
23485,99,552,4,461,384,0,0
,,,,,,,
23499,103,556,4,461,384,0,0
,,,,,,,
23510,107,560,4,461,384,0,0
,,,,,,,
23525,111,564,4,461,384,0,0
,,,,,,,
23539,115,568,4,461,384,0,0
,,,,,,,
23552,119,572,4,461,384,0,0
,,,,,,,
23566,123,576,4,461,384,0,0
,,,,,,,
23578,127,580,4,461,384,0,0
,,,,,,,
23592,131,584,4,461,384,0,0
,,,,,,,
23606,135,588,4,461,384,0,0
,,,,,,,
23618,139,592,4,461,384,0,0
,,,,,,,
23634,143,596,4,461,384,0,0
,,,,,,,
23648,147,600,4,461,384,0,0
,,,,,,,
23660,151,604,4,461,384,0,0
,,,,,,,
23674,155,608,4,461,384,0,0
,,,,,,,
23689,159,612,4,461,384,0,0
,,,,,,,
23702,163,616,4,461,384,0,0
,,,,,,,
23716,167,620,4,461,384,0,0
,,,,,,,
23726,171,624,4,461,384,0,0
,,,,,,,
23740,175,628,4,461,384,0,0
,,,,,,,
23752,179,632,4,461,384,0,0
,,,,,,,
23768,183,636,4,461,384,0,0
,,,,,,,
23782,187,640,4,461,384,0,0
,,,,,,,
23795,191,644,4,461,384,0,0
,,,,,,,
23808,195,648,4,461,384,0,0
,,,,,,,
23822,199,652,4,461,384,0,0
,,,,,,,
23836,203,656,4,461,384,0,0
,,,,,,,
23850,207,660,4,461,384,0,0
,,,,,,,
23862,211,664,4,461,384,0,0
,,,,,,,
23875,215,668,4,461,384,0,0
,,,,,,,
23887,219,672,4,461,384,0,0
,,,,,,,
23899,223,676,4,461,384,0,0
,,,,,,,
23912,227,680,4,461,384,0,0
,,,,,,,
23925,231,684,4,461,384,0,0
,,,,,,,
23938,235,688,4,461,384,0,0
,,,,,,,
23950,239,692,4,461,384,0,0
,,,,,,,
23964,243,696,4,461,384,0,0
,,,,,,,
23976,247,700,4,461,384,0,0
,,,,,,,
23990,251,704,4,461,384,0,0
,,,,,,,
24004,255,708,4,461,384,0,0
,,,,,,,
24017,259,712,4,461,384,0,0
,,,,,,,
24029,263,716,4,461,384,0,0
,,,,,,,
24042,267,720,4,461,384,0,0
,,,,,,,
24056,271,724,4,461,384,0,0
,,,,,,,
24070,275,728,4,461,384,0,0
,,,,,,,
24084,279,732,4,461,384,0,0
,,,,,,,
24099,283,736,4,461,384,0,0
,,,,,,,
24111,287,740,4,461,384,0,0
,,,,,,,
24124,291,744,4,461,384,0,0
,,,,,,,
24142,295,748,4,461,384,0,0
,,,,,,,
24155,299,752,4,461,384,0,0
,,,,,,,
24168,303,756,4,461,384,0,0
,,,,,,,
24183,307,760,4,461,384,0,0
,,,,,,,
24197,311,756,4,461,384,0,0
,,,,,,,
24212,315,752,4,461,384,0,0
,,,,,,,
24225,319,748,4,461,384,0,0
,,,,,,,
24239,323,744,4,461,384,0,0
,,,,,,,
24252,327,740,4,461,384,0,0
,,,,,,,
24265,331,736,4,461,384,0,0
,,,,,,,
24277,335,732,4,461,384,0,0
,,,,,,,
24290,339,728,4,461,384,0,0
,,,,,,,
24303,343,724,4,461,384,0,0
,,,,,,,
24317,347,720,4,461,384,0,0
,,,,,,,
24330,351,716,4,461,384,0,0
,,,,,,,
24343,355,712,4,461,384,0,0
,,,,,,,
24357,359,708,4,461,384,0,0
