TicksTime,BallPosX,BallPosY,BallSpeed,PosD,PosPC,ScoreD,ScorePC
21779,676,388,4,384,384,0,0
21794,672,392,4,384,384,0,0
21806,668,396,4,384,384,0,0
21821,664,400,4,384,384,0,0
21836,660,404,4,384,384,0,0
21849,656,408,4,384,384,0,0
21866,652,412,4,384,384,0,0
21880,648,416,4,384,384,0,0
21895,644,420,4,384,384,0,0
21908,640,424,4,384,384,0,0
21921,636,428,4,384,384,0,0
21935,632,432,4,384,384,0,0
21949,628,436,4,384,384,0,0
21964,624,440,4,384,384,0,0
21979,620,444,4,384,384,0,0
21993,616,448,4,384,384,0,0
22005,612,452,4,384,384,0,0
22018,608,456,4,384,384,0,0
22031,604,460,4,384,384,0,0
22045,600,464,4,384,384,0,0
22064,596,468,4,384,384,0,0
22080,592,472,4,384,384,0,0
22094,588,476,4,384,384,0,0
22106,584,480,4,384,384,0,0
22119,580,484,4,384,384,0,0
22134,576,488,4,384,384,0,0
22148,572,492,4,384,384,0,0
22162,568,496,4,384,384,0,0
22176,564,500,4,384,384,0,0
22188,560,504,4,384,384,0,0
22203,556,508,4,384,384,0,0
22216,552,512,4,384,384,0,0
22232,548,516,4,384,384,0,0
22249,544,520,4,384,384,0,0
22264,540,524,4,384,384,0,0
22278,536,528,4,384,384,0,0
22291,532,532,4,384,384,0,0
22304,528,536,4,384,384,0,0
22318,524,540,4,384,384,0,0
22331,520,544,4,384,384,0,0
22345,516,548,4,384,384,0,0
22360,512,552,4,384,384,0,0
22372,508,556,4,384,384,0,0
22385,504,560,4,384,384,0,0
22399,500,564,4,384,384,0,0
22413,496,568,4,384,384,0,0
22427,492,572,4,384,384,0,0
22440,488,576,4,384,384,0,0
22453,484,580,4,384,384,0,0
22466,480,584,4,384,384,0,0
22480,476,588,4,384,384,0,0
22495,472,592,4,384,384,0,0
22507,468,596,4,384,384,0,0
22520,464,600,4,384,384,0,0
22533,460,604,4,384,384,0,0
22547,456,608,4,384,384,0,0
22561,452,612,4,384,384,0,0
22573,448,616,4,384,384,0,0
22587,444,620,4,384,384,0,0
22602,440,624,4,384,384,0,0
22616,436,628,4,384,384,0,0
22630,432,632,4,384,384,0,0
22645,428,636,4,384,384,0,0
22657,424,640,4,384,384,0,0
22670,420,644,4,384,384,0,0
22683,416,648,4,384,384,0,0
22697,412,652,4,384,384,0,0
22712,408,656,4,384,384,0,0
22724,404,660,4,384,384,0,0
22738,400,664,4,384,384,0,0
22750,396,668,4,384,384,0,0
22766,392,672,4,384,384,0,0
22781,388,676,4,384,384,0,0
22797,384,680,4,384,384,0,0
22810,380,684,4,391,384,0,0
22824,376,688,4,398,384,0,0
22838,372,692,4,405,384,0,0
22850,368,696,4,412,384,0,0
22865,364,700,4,419,384,0,0
22879,360,704,4,426,384,0,0
22892,356,708,4,433,384,0,0
22907,352,712,4,440,384,0,0
22921,348,716,4,447,384,0,0
22934,344,720,4,454,384,0,0
22949,340,724,4,461,384,0,0
22964,336,728,4,468,384,0,0
22980,332,732,4,475,384,0,0
22995,328,736,4,482,384,0,0
23008,324,740,4,489,384,0,0
23021,320,744,4,496,384,0,0
23034,316,748,4,503,384,0,0
23055,312,752,4,510,384,0,0
23070,308,756,4,517,384,0,0
23083,304,760,4,524,384,0,0
23097,300,756,4,531,384,0,0
23112,296,752,4,538,384,0,0
23125,292,748,4,545,384,0,0
23139,288,744,4,552,384,0,0
23153,284,740,4,559,384,0,0
23166,280,736,4,566,384,0,0
23181,276,732,4,573,384,0,0
23196,272,728,4,580,384,0,0
23210,268,724,4,587,384,0,0
23223,264,720,4,594,384,0,0
23238,260,716,4,601,384,0,0
23253,256,712,4,608,384,0,0
23268,252,708,4,615,384,0,0
23283,248,704,4,622,384,0,0
23298,244,700,4,629,384,0,0
23312,240,696,4,636,384,0,0
23326,236,692,4,638,384,0,0
23340,232,688,4,638,384,0,0
23355,228,684,4,638,384,0,0
23369,224,680,4,638,384,0,0
23382,220,676,4,638,384,0,0
23397,216,672,4,638,384,0,0
23413,212,668,4,638,384,0,0
23426,208,664,4,638,384,0,0
23440,204,660,4,638,384,0,0
23454,200,656,4,638,384,0,0
23468,196,652,4,638,384,0,0
23482,192,648,4,638,384,0,0
23496,188,644,4,638,384,0,0
23508,184,640,4,638,384,0,0
23522,180,636,4,638,384,0,0
23534,176,632,4,638,384,0,0
23548,172,628,4,638,384,0,0
23562,168,624,4,638,384,0,0
23576,164,620,4,638,384,0,0
23589,160,616,4,638,384,0,0
23602,156,612,4,638,384,0,0
23617,152,608,4,638,384,0,0
23632,148,604,4,638,384,0,0
23648,144,600,4,638,384,0,0
23663,140,596,4,638,384,0,0
23675,136,592,4,638,384,0,0
23690,132,588,4,638,384,0,0
23704,128,584,4,638,384,0,0
23717,124,580,4,638,384,0,0
23731,120,576,4,638,384,0,0
23746,116,572,4,638,384,0,0
23760,112,568,4,638,384,0,0
23773,108,564,4,631,384,0,0
23787,104,560,4,624,384,0,0
23801,100,556,4,617,384,0,0
23818,96,552,4,610,384,0,0
23832,92,548,4,603,384,0,0
23847,88,544,4,596,384,0,0
23859,84,540,4,589,384,0,0
23873,80,536,4,582,384,0,0
23887,76,532,4,575,384,0,0
23900,72,528,4,568,384,0,0
23914,68,524,4,561,384,0,0
23928,64,520,4,554,384,0,0
23941,60,516,4,547,384,0,0
23955,56,512,4,540,384,0,0
23970,52,508,4,533,384,0,0
23984,48,504,4,526,384,0,0
23998,44,500,4,519,384,0,0
24012,40,496,4,512,384,0,0
24025,36,492,4,505,384,0,0
24038,32,488,4,498,384,0,0
24065,24,480,4,491,384,0,0
24090,16,472,4,484,384,0,0
24104,12,468,4,477,384,0,0
24117,8,464,4,470,384,0,0
24132,4,460,4,463,384,0,0
24147,0,456,4,456,384,0,0
24162,-4,452,4,449,384,0,0
24174,-8,448,4,442,384,0,0
24692,684,380,4,435,378,0,1
24706,688,376,4,435,372,0,1
24720,692,372,4,435,366,0,1
24734,696,368,4,435,360,0,1
24749,700,364,4,435,354,0,1
24765,704,360,4,435,348,0,1
24777,708,356,4,435,342,0,1
24792,712,352,4,435,336,0,1
24806,716,348,4,435,330,0,1
24823,720,344,4,435,324,0,1
24838,724,340,4,435,318,0,1
24851,728,336,4,435,312,0,1
24866,732,332,4,435,306,0,1
24883,736,328,4,435,300,0,1
24898,740,324,4,435,294,0,1
24911,744,320,4,435,288,0,1
24925,748,316,4,435,282,0,1
24940,752,312,4,435,276,0,1
24956,756,308,4,435,270,0,1
24968,760,304,4,435,264,0,1
24983,764,300,4,435,258,0,1
24998,768,296,4,435,252,0,1
25010,772,292,4,435,246,0,1
25025,776,288,4,435,240,0,1
25040,780,284,4,435,234,0,1
25057,784,280,4,435,228,0,1
25074,788,276,4,435,222,0,1
25089,792,272,4,435,216,0,1
25102,796,268,4,435,210,0,1
25119,800,264,4,435,204,0,1
25134,804,260,4,435,198,0,1
25149,808,256,4,435,192,0,1
25164,812,252,4,435,186,0,1
25180,816,248,4,435,180,0,1
25193,820,244,4,435,174,0,1
25208,824,240,4,435,168,0,1
25222,828,236,4,435,162,0,1
25238,832,232,4,435,156,0,1
25254,836,228,4,435,150,0,1
25267,840,224,4,435,144,0,1
25282,844,220,4,435,138,0,1
25297,848,216,4,435,132,0,1
25310,852,212,4,435,126,0,1
25324,856,208,4,435,120,0,1
25339,860,204,4,435,114,0,1
25351,864,200,4,435,114,0,1
25365,868,196,4,435,108,0,1
25380,872,192,4,435,108,0,1
25393,876,188,4,435,108,0,1
25407,880,184,4,435,108,0,1
25423,884,180,4,435,108,0,1
25437,888,176,4,435,108,0,1
25453,892,172,4,435,108,0,1
25469,896,168,4,435,108,0,1
25484,900,164,4,435,102,0,1
25501,904,160,4,435,96,0,1
25516,908,156,4,435,96,0,1
25529,912,152,4,435,96,0,1
25543,916,148,4,435,90,0,1
25559,920,144,4,435,90,0,1
25574,924,140,4,435,90,0,1
25587,928,136,4,435,90,0,1
25602,932,132,4,435,90,0,1
25617,936,128,4,435,90,0,1
25632,940,124,4,435,90,0,1
25646,944,120,4,435,90,0,1
25659,948,116,4,435,84,0,1
25673,952,112,4,435,84,0,1
25686,956,108,4,435,84,0,1
25702,960,104,4,435,84,0,1
25717,964,100,4,435,84,0,1
25732,968,96,4,435,84,0,1
25745,972,92,4,435,84,0,1
25759,976,88,4,435,84,0,1
25774,980,84,4,435,84,0,1
25787,984,80,4,435,84,0,1
25801,988,76,4,435,84,0,1
25816,992,72,4,435,84,0,1
25831,996,68,4,435,84,0,1
25850,1000,64,4,435,84,0,1
25864,1004,60,4,435,84,0,1
25878,1008,56,4,435,84,0,1
25892,1012,52,4,435,84,0,1
25907,1016,48,4,435,84,0,1
25920,1020,44,4,435,84,0,1
25935,1024,40,4,435,84,0,1
25949,1028,36,4,435,84,0,1
25963,1032,32,4,435,84,0,1
25977,1036,28,4,435,84,0,1
25991,1040,24,4,435,84,0,1
26005,1044,20,4,435,84,0,1
26019,1048,16,4,435,84,0,1
26035,1052,12,4,435,84,0,1
26056,1056,8,4,435,84,0,1
26072,1060,12,4,435,84,0,1
26089,1064,16,4,435,84,0,1
26105,1068,20,4,435,84,0,1
26118,1072,24,4,435,84,0,1
26133,1076,28,4,435,84,0,1
26148,1080,32,4,435,84,0,1
26162,1084,36,4,435,84,0,1
26176,1088,40,4,435,84,0,1
26190,1092,44,4,435,84,0,1
26203,1096,48,4,435,84,0,1
26217,1100,52,4,435,84,0,1
26232,1104,56,4,435,84,0,1
26248,1108,60,4,435,84,0,1
26260,1112,64,4,435,84,0,1
26275,1116,68,4,435,84,0,1
26290,1120,72,4,435,84,0,1
26303,1124,76,4,435,84,0,1
26318,1128,80,4,435,84,0,1
26332,1132,84,4,435,84,0,1
26346,1136,88,4,435,84,0,1
26360,1140,92,4,435,84,0,1
26375,1144,96,4,435,84,0,1
26390,1148,100,4,435,84,0,1
26403,1152,104,4,435,84,0,1
26419,1156,108,4,435,84,0,1
26433,1160,112,4,435,84,0,1
26448,1164,116,4,435,84,0,1
26461,1168,120,4,435,84,0,1
26475,1172,124,4,435,84,0,1
26488,1176,128,4,435,84,0,1
26502,1180,132,4,435,84,0,1
26517,1184,136,4,435,84,0,1
26531,1188,140,4,435,84,0,1
26545,1192,144,4,435,90,0,1
26559,1196,148,4,435,90,0,1
26573,1200,152,4,435,90,0,1
26587,1204,156,4,435,90,0,1
26601,1208,160,4,435,96,0,1
26616,1212,164,4,435,96,0,1
26628,1216,168,4,435,96,0,1
26641,1220,172,4,435,96,0,1
26654,1224,176,4,435,96,0,1
26669,1228,180,4,435,96,0,1
26684,1232,184,4,435,102,0,1
26699,1236,188,4,435,108,0,1
26713,1240,192,4,435,108,0,1
26727,1244,196,4,435,108,0,1
26741,1248,200,4,435,108,0,1
26754,1252,204,4,435,108,0,1
26768,1256,208,4,435,108,0,1
26783,1260,212,4,435,108,0,1
26795,1264,216,4,435,108,0,1
26808,1268,220,4,435,108,0,1
26823,1272,224,4,435,114,0,1
26837,1276,228,4,435,114,0,1
26851,1280,232,4,435,114,0,1
26866,1284,236,4,435,114,0,1
26878,1288,240,4,435,114,0,1
26891,1292,244,4,435,114,0,1
26904,1288,248,4,435,114,0,1
26919,1284,252,4,435,114,0,1
26934,1280,256,4,435,114,0,1
26949,1276,260,4,435,114,0,1
26961,1272,264,4,435,114,0,1
26975,1268,268,4,435,114,0,1
26988,1264,272,4,435,114,0,1
27001,1260,276,4,435,114,0,1
27015,1256,280,4,435,114,0,1
27028,1252,284,4,435,114,0,1
27043,1248,288,4,435,114,0,1
27064,1244,292,4,435,114,0,1
27077,1240,296,4,435,114,0,1
27092,1236,300,4,435,114,0,1
27106,1232,304,4,435,114,0,1
27120,1228,308,4,435,114,0,1
27135,1224,312,4,435,114,0,1
27149,1220,316,4,435,114,0,1
27161,1216,320,4,435,114,0,1
27174,1212,324,4,435,114,0,1
27187,1208,328,4,435,114,0,1
27202,1204,332,4,435,114,0,1
27216,1200,336,4,435,114,0,1
27232,1196,340,4,435,114,0,1
27245,1192,344,4,435,114,0,1
27259,1188,348,4,435,114,0,1
27271,1184,352,4,435,114,0,1
27286,1180,356,4,435,114,0,1
27300,1176,360,4,435,114,0,1
27314,1172,364,4,435,114,0,1
27327,1168,368,4,435,114,0,1
27341,1164,372,4,435,114,0,1
27353,1160,376,4,435,114,0,1
27367,1156,380,4,435,114,0,1
27382,1152,384,4,435,114,0,1
27394,1148,388,4,435,114,0,1
27407,1144,392,4,435,114,0,1
27422,1140,396,4,435,114,0,1
27437,1136,400,4,435,114,0,1
27452,1132,404,4,435,114,0,1
27467,1128,408,4,435,114,0,1
27479,1124,412,4,435,114,0,1
27493,1120,416,4,435,114,0,1
27506,1116,420,4,435,114,0,1
27520,1112,424,4,435,114,0,1
27534,1108,428,4,435,114,0,1
27547,1104,432,4,435,114,0,1
27560,1100,436,4,435,114,0,1
27573,1096,440,4,435,114,0,1
27588,1092,444,4,435,114,0,1
27603,1088,448,4,435,114,0,1
27617,1084,452,4,435,114,0,1
27630,1080,456,4,435,114,0,1
27643,1076,460,4,435,114,0,1
27659,1072,464,4,435,114,0,1
27672,1068,468,4,435,114,0,1
27687,1064,472,4,435,114,0,1
27701,1060,476,4,435,114,0,1
27715,1056,480,4,435,114,0,1
27727,1052,484,4,435,114,0,1
27742,1048,488,4,435,114,0,1
27755,1044,492,4,435,114,0,1
27769,1040,496,4,435,114,0,1
27783,1036,500,4,435,114,0,1
27795,1032,504,4,435,114,0,1
27808,1028,508,4,435,114,0,1
27824,1024,512,4,435,114,0,1
27839,1020,516,4,435,114,0,1
27854,1016,520,4,435,114,0,1
27869,1012,524,4,435,114,0,1
27885,1008,528,4,435,114,0,1
27898,1004,532,4,435,114,0,1
27911,1000,536,4,435,114,0,1
27925,996,540,4,435,114,0,1
27938,992,544,4,435,114,0,1
27953,988,548,4,435,114,0,1
27968,984,552,4,435,114,0,1
27981,980,556,4,435,114,0,1
27994,976,560,4,435,114,0,1
28009,972,564,4,435,114,0,1
28021,968,568,4,435,114,0,1
