TicksTime,BallPosX,BallPosY,BallSpeed,PosE,PosF,ScoreE,ScoreF
24213,679,388,4,384,384,0,0
,,,,,,,
24227,675,392,4,384,384,0,0
,,,,,,,
24240,671,396,4,384,384,0,0
,,,,,,,
24256,667,400,4,384,384,0,0
,,,,,,,
24271,663,404,4,384,384,0,0
,,,,,,,
24283,659,408,4,384,384,0,0
,,,,,,,
24299,655,412,4,384,384,0,0
,,,,,,,
24312,651,416,4,384,384,0,0
,,,,,,,
24325,647,420,4,384,384,0,0
,,,,,,,
24343,643,424,4,384,384,0,0
,,,,,,,
24355,639,428,4,384,384,0,0
,,,,,,,
24368,635,432,4,384,384,0,0
,,,,,,,
24380,631,436,4,384,384,0,0
,,,,,,,
24394,627,440,4,384,384,0,0
,,,,,,,
24407,623,444,4,384,384,0,0
,,,,,,,
24422,619,448,4,384,384,0,0
,,,,,,,
24433,615,452,4,384,384,0,0
,,,,,,,
24447,611,456,4,384,384,0,0
,,,,,,,
24462,607,460,4,384,384,0,0
,,,,,,,
24477,603,464,4,384,384,0,0
,,,,,,,
24489,599,468,4,384,384,0,0
,,,,,,,
24504,595,472,4,384,384,0,0
,,,,,,,
24517,591,476,4,384,384,0,0
,,,,,,,
24532,587,480,4,384,384,0,0
,,,,,,,
24546,583,484,4,384,384,0,0
,,,,,,,
24559,579,488,4,384,384,0,0
,,,,,,,
24573,575,492,4,384,384,0,0
,,,,,,,
24587,571,496,4,384,384,0,0
,,,,,,,
24599,567,500,4,384,384,0,0
,,,,,,,
24614,563,504,4,384,384,0,0
,,,,,,,
24628,559,508,4,384,384,0,0
,,,,,,,
24642,555,512,4,384,384,0,0
,,,,,,,
24656,551,516,4,384,384,0,0
,,,,,,,
24670,547,520,4,384,384,0,0
,,,,,,,
24684,543,524,4,384,384,0,0
,,,,,,,
24710,539,528,4,384,384,0,0
,,,,,,,
24721,535,532,4,384,384,0,0
,,,,,,,
24733,531,536,4,384,384,0,0
,,,,,,,
24746,527,540,4,384,384,0,0
,,,,,,,
24760,523,544,4,384,384,0,0
,,,,,,,
24775,519,548,4,384,384,0,0
,,,,,,,
24790,515,552,4,384,384,0,0
,,,,,,,
24807,511,556,4,384,384,0,0
,,,,,,,
24821,507,560,4,384,384,0,0
,,,,,,,
24833,503,564,4,384,384,0,0
,,,,,,,
24846,499,568,4,384,384,0,0
,,,,,,,
24857,495,572,4,384,384,0,0
,,,,,,,
24871,491,576,4,384,384,0,0
,,,,,,,
24882,487,580,4,384,384,0,0
,,,,,,,
24896,483,584,4,384,384,0,0
,,,,,,,
24909,479,588,4,384,384,0,0
