TicksTime,BallPosX,BallPosY,BallSpeed,PosE,PosPC,ScoreE,ScorePC
21029,684,388,4,384,390,0,0
21043,688,392,4,384,396,0,0
21058,692,396,4,384,402,0,0
21072,696,400,4,384,408,0,0
21087,700,404,4,384,414,0,0
21100,704,408,4,384,420,0,0
21117,708,412,4,384,426,0,0
21131,712,416,4,384,432,0,0
21146,716,420,4,384,438,0,0
21159,720,424,4,384,444,0,0
21173,724,428,4,384,450,0,0
21188,728,432,4,384,456,0,0
21204,732,436,4,384,462,0,0
21217,736,440,4,384,468,0,0
21232,740,444,4,384,474,0,0
21246,744,448,4,384,480,0,0
21261,748,452,4,384,486,0,0
21274,752,456,4,384,492,0,0
21291,756,460,4,384,498,0,0
21307,760,464,4,384,504,0,0
21322,764,468,4,384,510,0,0
21337,768,472,4,384,516,0,0
21349,772,476,4,384,522,0,0
21364,776,480,4,384,528,0,0
21380,780,484,4,384,534,0,0
21392,784,488,4,384,540,0,0
21407,788,492,4,384,540,0,0
21421,792,496,4,384,540,0,0
21437,796,500,4,384,540,0,0
21456,800,504,4,384,540,0,0
21471,804,508,4,384,540,0,0
21487,808,512,4,384,546,0,0
21502,812,516,4,384,546,0,0
21515,816,520,4,384,546,0,0
21530,820,524,4,384,546,0,0
21543,824,528,4,384,546,0,0
21557,828,532,4,384,546,0,0
21571,832,536,4,384,546,0,0
21588,836,540,4,384,546,0,0
21602,840,544,4,384,546,0,0
21616,844,548,4,384,546,0,0
21631,848,552,4,384,546,0,0
21645,852,556,4,384,546,0,0
21659,856,560,4,384,546,0,0
21673,860,564,4,384,546,0,0
21687,864,568,4,384,546,0,0
21700,868,572,4,384,546,0,0
21716,872,576,4,384,546,0,0
21730,876,580,4,384,552,0,0
21744,880,584,4,384,552,0,0
21758,884,588,4,384,552,0,0
21772,888,592,4,384,552,0,0
21786,892,596,4,384,552,0,0
21800,896,600,4,384,552,0,0
21814,900,604,4,384,552,0,0
21828,904,608,4,384,552,0,0
21842,908,612,4,384,552,0,0
21856,912,616,4,384,552,0,0
21872,916,620,4,384,552,0,0
21888,920,624,4,384,552,0,0
21901,924,628,4,384,552,0,0
21915,928,632,4,384,552,0,0
21929,932,636,4,384,552,0,0
21944,936,640,4,384,552,0,0
21958,940,644,4,384,552,0,0
21971,944,648,4,384,552,0,0
21984,948,652,4,384,552,0,0
21999,952,656,4,384,552,0,0
22014,956,660,4,384,552,0,0
22027,960,664,4,384,552,0,0
22040,964,668,4,384,552,0,0
22054,968,672,4,384,552,0,0
22067,972,676,4,384,552,0,0
22083,976,680,4,384,552,0,0
22097,980,684,4,384,552,0,0
22111,984,688,4,384,552,0,0
22124,988,692,4,384,552,0,0
22138,992,696,4,384,552,0,0
22151,996,700,4,384,558,0,0
22166,1000,704,4,384,558,0,0
22181,1004,708,4,384,558,0,0
22195,1008,712,4,377,558,0,0
22208,1012,716,4,370,558,0,0
22222,1016,720,4,363,558,0,0
22236,1020,724,4,356,558,0,0
22250,1024,728,4,349,558,0,0
22265,1028,732,4,342,558,0,0
22280,1032,736,4,342,558,0,0
22293,1036,740,4,342,558,0,0
22307,1040,744,4,342,558,0,0
22322,1044,748,4,342,564,0,0
22334,1048,752,4,342,564,0,0
22349,1052,756,4,342,564,0,0
22364,1056,760,4,342,564,0,0
22380,1060,756,4,342,564,0,0
22393,1064,752,4,342,564,0,0
22407,1068,748,4,342,564,0,0
22422,1072,744,4,342,564,0,0
22435,1076,740,4,342,564,0,0
22455,1080,736,4,349,564,0,0
