TicksTime,BallPosX,BallPosY,BallSpeed,PosF,PosPC,ScoreF,ScorePC
21943,687,388,4,384,390,0,0
,,,,,,,
21957,691,392,4,384,396,0,0
,,,,,,,
21970,695,396,4,384,402,0,0
,,,,,,,
21983,699,400,4,384,408,0,0
,,,,,,,
21995,703,404,4,384,414,0,0
,,,,,,,
22007,707,408,4,384,420,0,0
,,,,,,,
22018,711,412,4,384,426,0,0
,,,,,,,
22034,715,416,4,384,432,0,0
,,,,,,,
22048,719,420,4,384,438,0,0
,,,,,,,
22060,723,424,4,384,444,0,0
,,,,,,,
22074,727,428,4,384,450,0,0
,,,,,,,
22087,731,432,4,384,456,0,0
,,,,,,,
22102,735,436,4,384,462,0,0
,,,,,,,
22117,739,440,4,384,468,0,0
,,,,,,,
22131,743,444,4,384,474,0,0
,,,,,,,
22145,747,448,4,384,480,0,0
,,,,,,,
22158,751,452,4,384,486,0,0
,,,,,,,
22172,755,456,4,384,492,0,0
,,,,,,,
22185,759,460,4,384,498,0,0
,,,,,,,
22200,763,464,4,384,504,0,0
,,,,,,,
22213,767,468,4,384,510,0,0
,,,,,,,
22227,771,472,4,384,516,0,0
,,,,,,,
22240,775,476,4,384,522,0,0
,,,,,,,
22252,779,480,4,384,528,0,0
,,,,,,,
22267,783,484,4,384,534,0,0
,,,,,,,
22279,787,488,4,384,540,0,0
,,,,,,,
22292,791,492,4,384,540,0,0
,,,,,,,
22306,795,496,4,384,540,0,0
,,,,,,,
22317,799,500,4,384,546,0,0
,,,,,,,
22330,803,504,4,384,552,0,0
,,,,,,,
22342,807,508,4,384,552,0,0
,,,,,,,
22356,811,512,4,384,552,0,0
,,,,,,,
22370,815,516,4,384,552,0,0
,,,,,,,
22384,819,520,4,384,552,0,0
,,,,,,,
22397,823,524,4,384,552,0,0
,,,,,,,
22410,827,528,4,384,552,0,0
,,,,,,,
22422,831,532,4,384,552,0,0
,,,,,,,
22435,835,536,4,384,552,0,0
,,,,,,,
22449,839,540,4,384,552,0,0
,,,,,,,
22461,843,544,4,384,552,0,0
,,,,,,,
22474,847,548,4,384,552,0,0
,,,,,,,
22489,851,552,4,384,552,0,0
,,,,,,,
22503,855,556,4,384,552,0,0
,,,,,,,
22517,859,560,4,384,552,0,0
,,,,,,,
22530,863,564,4,384,552,0,0
,,,,,,,
22544,867,568,4,384,552,0,0
,,,,,,,
22557,871,572,4,384,552,0,0
,,,,,,,
22568,875,576,4,384,552,0,0
,,,,,,,
22582,879,580,4,384,552,0,0
,,,,,,,
22594,883,584,4,384,552,0,0
,,,,,,,
22608,887,588,4,384,552,0,0
,,,,,,,
22621,891,592,4,384,552,0,0
,,,,,,,
22635,895,596,4,384,552,0,0
,,,,,,,
22648,899,600,4,384,552,0,0
,,,,,,,
22660,903,604,4,384,558,0,0
,,,,,,,
22673,907,608,4,384,558,0,0
,,,,,,,
22687,911,612,4,384,558,0,0
,,,,,,,
22700,915,616,4,384,558,0,0
,,,,,,,
22716,919,620,4,384,558,0,0
,,,,,,,
22727,923,624,4,384,558,0,0
,,,,,,,
22740,927,628,4,384,558,0,0
,,,,,,,
22752,931,632,4,384,558,0,0
,,,,,,,
22767,935,636,4,384,558,0,0
,,,,,,,
22781,939,640,4,384,558,0,0
,,,,,,,
22793,943,644,4,384,558,0,0
,,,,,,,
22807,947,648,4,384,558,0,0
,,,,,,,
22821,951,652,4,384,558,0,0
,,,,,,,
22835,955,656,4,384,558,0,0
,,,,,,,
22849,959,660,4,384,558,0,0
,,,,,,,
22862,963,664,4,384,558,0,0
,,,,,,,
22876,967,668,4,384,558,0,0
,,,,,,,
22890,971,672,4,384,558,0,0
,,,,,,,
22903,975,676,4,384,558,0,0
,,,,,,,
22918,979,680,4,384,558,0,0
,,,,,,,
22934,983,684,4,384,558,0,0
,,,,,,,
22950,987,688,4,384,558,0,0
,,,,,,,
22965,991,692,4,384,558,0,0
,,,,,,,
22979,995,696,4,384,558,0,0
,,,,,,,
22994,999,700,4,384,558,0,0
,,,,,,,
