Modo,Direction,Lag,Chi2,p
M,A->B,1,0.45,0.5
S,A->B,1,0.0,0.95
M,B->A,1,0.0,0.99
S,B->A,1,1.83,0.18
M,A->B,2,0.45,0.8
S,A->B,2,1.83,0.4
M,B->A,2,0.02,0.99
S,B->A,2,2.34,0.31
M,A->B,3,2.03,0.57
S,A->B,3,2.05,0.56
M,B->A,3,2.18,0.54
S,B->A,3,7.82,0.05
M,A->B,4,6.19,0.19
S,A->B,4,8.65,0.07
M,B->A,4,7.37,0.12
S,B->A,4,7.87,0.1
M,A->B,5,17.58,0.0
S,A->B,5,9.66,0.09
M,B->A,5,7.89,0.16
S,B->A,5,10.75,0.06
M,A->B,6,19.03,0.0
S,A->B,6,10.56,0.1
M,B->A,6,13.22,0.04
S,B->A,6,12.86,0.05
M,A->B,7,17.99,0.01
S,A->B,7,11.81,0.11
M,B->A,7,12.15,0.1
S,B->A,7,18.69,0.01
M,A->B,8,16.36,0.04
S,A->B,8,12.44,0.13
M,B->A,8,20.23,0.01
S,B->A,8,19.81,0.01
M,A->B,9,15.71,0.07
S,A->B,9,13.25,0.15
M,B->A,9,20.65,0.01
S,B->A,9,22.29,0.01
M,A->B,10,14.4,0.16
S,A->B,10,13.44,0.2
M,B->A,10,20.13,0.03
S,B->A,10,22.34,0.01
M,A->B,11,12.98,0.29
S,A->B,11,13.29,0.27
M,B->A,11,20.07,0.04
S,B->A,11,20.74,0.04
M,A->B,12,11.83,0.46
S,A->B,12,23.77,0.02
M,B->A,12,18.82,0.09
S,B->A,12,22.84,0.03
M,A->B,13,7.66,0.86
S,A->B,13,19.92,0.1
M,B->A,13,13.5,0.41
S,B->A,13,19.69,0.1
M,A->B,14,9.27,0.81
S,A->B,14,17.06,0.25
M,B->A,14,12.0,0.61
S,B->A,14,13.94,0.45
M,A->B,15,13.33,0.58
S,A->B,15,20.41,0.16
M,B->A,15,13.24,0.58
S,B->A,15,20.53,0.15
M,A->B,16,13.66,0.62
S,A->B,16,21.48,0.16
M,B->A,16,12.49,0.71
S,B->A,16,21.59,0.16
M,A->B,17,14.16,0.66
S,A->B,17,24.04,0.12
M,B->A,17,13.76,0.68
S,B->A,17,21.28,0.21
