Modo,Direction,Lag,Chi2,p
M,E->F,1,5.7,0.02
S,E->F,1,1.31,0.25
M,F->E,1,0.77,0.38
S,F->E,1,0.42,0.52
M,E->F,2,5.74,0.06
S,E->F,2,1.22,0.54
M,F->E,2,2.28,0.32
S,F->E,2,0.5,0.78
M,E->F,3,10.57,0.01
S,E->F,3,5.75,0.12
M,F->E,3,2.01,0.57
S,F->E,3,1.06,0.79
M,E->F,4,15.71,0
S,E->F,4,5.6,0.23
M,F->E,4,4.84,0.3
S,F->E,4,1.1,0.89
M,E->F,5,23.43,0
S,E->F,5,6.93,0.23
M,F->E,5,7.01,0.22
S,F->E,5,2.52,0.77
M,E->F,6,25.48,0
S,E->F,6,8.34,0.21
M,F->E,6,28.04,0
S,F->E,6,5.76,0.45
M,E->F,7,24.46,0
S,E->F,7,9.43,0.22
M,F->E,7,43.49,0
S,F->E,7,7.58,0.37
M,E->F,8,41.92,0
S,E->F,8,9.83,0.28
M,F->E,8,44.82,0
S,F->E,8,7.55,0.48
M,E->F,9,45.35,0
S,E->F,9,11.25,0.26
M,F->E,9,42.16,0
S,F->E,9,11.72,0.23
M,E->F,10,51.39,0
S,E->F,10,15.68,0.11
M,F->E,10,37.15,0
S,F->E,10,15.27,0.12
M,E->F,11,53.26,0
S,E->F,11,18.87,0.06
M,F->E,11,38.78,0
S,F->E,11,15.11,0.18
M,E->F,12,50.18,0
S,E->F,12,20.15,0.06
M,F->E,12,33.66,0
S,F->E,12,18.38,0.1
M,E->F,13,52.14,0
S,E->F,13,19.8,0.1
M,F->E,13,38.15,0
S,F->E,13,18.12,0.15
M,E->F,14,48.44,0
S,E->F,14,18.63,0.18
M,F->E,14,34.71,0
S,F->E,14,17.38,0.24
M,E->F,15,41.18,0
S,E->F,15,13.22,0.59
M,F->E,15,26.83,0.03
S,F->E,15,11.82,0.69
M,E->F,16,36.48,0
S,E->F,16,14.59,0.55
M,F->E,16,17.76,0.34
S,F->E,16,11.75,0.76
M,E->F,17,39.25,0
S,E->F,17,13.52,0.7
M,F->E,17,20.62,0.24
S,F->E,17,18.71,0.35
